panel,division,population,dataset,study,study_doi,platform,preparation,unit,n_neurons,n_samples,median_library,Oprl1,Oprm1,Oprd1,Oprk1,Oprl1_pct_detected,top_receptor,runner_up,margin,margin_lo,margin_hi,bootstrap_support,samples_agreeing,marker_gate,ambient_check,notes
A,sensory,spiral (VIII),GSE114997,"Shrestha et al., 2018",10.1016/j.cell.2018.07.007,"SMART-seq, full-length",whole cell,CPM,226,,2678701,41.94,0.0,0.0,0.0,74.8,Oprl1,none detected,inf,,,1.0,n/a,pass,not possible,"deposit is 226 sorted neurons, no non-neuronal cells"
B,sensory,geniculate (VII),GSE102443,"Dvoryanchikov et al., 2017",10.1038/s41467-017-01095-1,"SMART-seq, full-length",whole cell,FPKM,96,,,5.73,0.18,0.31,0.83,91.67,Oprl1,Oprk1,6.92,4.26,13.32,1.0,n/a,pass,not possible,"deposit is 96 sorted neurons, no non-neuronal cells"
C,sensory,vestibular (VIII),GSE309608,"Liu et al., 2026",10.1073/pnas.2530677123,"10x droplet, 3'",whole cell,CPM,6596,4,55172,19.88,1.78,0.09,4.63,57.57,Oprl1,Oprk1,4.29,3.854,4.808,1.0,4/4,pass,run,
D,sensory,geniculate (VII),GSE135801,"Zhang et al., 2019",10.1016/j.cell.2019.08.031,"droplet, 3'",whole cell,CPM,454,,,18.98,0.01,4.72,3.61,19.6,Oprl1,Oprd1,4.02,0.99,36.7,0.974,n/a,pass,not possible,"deposit is Phox2b-sorted neurons, no non-neuronal cells"
E,sensory,trigeminal (V),iPain,"Bhuiyan et al., 2024",10.1126/sciadv.adj9173,"10x droplet, 3'",whole cell,CPM,2773,,,13.24,6.36,1.46,5.12,,Oprl1,Oprm1,2.08,1.41,3.26,1.0,n/a,pass,not possible,source h5ad is 0.6 GB and was not retained; not re-derived
F,sensory,nodose (X),NodoMap,"Cheng et al., 2026",10.1016/j.cpblue.2026.100072,"10x droplet, 3'",whole cell,CPM,26047,,1570,11.9,9.86,0.13,4.63,9.13,Oprl1,Oprm1,1.21,1.15,1.28,1.0,4/4,pass,run,
G,sensory,jugular (X),NodoMap,"Cheng et al., 2026",10.1016/j.cpblue.2026.100072,"10x droplet, 3'",whole cell,CPM,4593,,1570,9.62,8.33,0.92,0.9,7.21,Oprl1,Oprm1,1.16,0.92,1.46,0.898,2/3,pass,run,"scored on the pooled ganglion, not the jugular subset"
H,sensory,dorsal root,iPain,"Bhuiyan et al., 2024",10.1126/sciadv.adj9173,"10x droplet, 3'",whole cell,CPM,31802,,,9.31,8.23,0.2,2.78,,Oprl1,Oprm1,1.13,1.08,1.19,1.0,n/a,pass,not possible,"source h5ad is 20.9 GB, above this session's disk allowance"
I,sympathetic,celiac,GSE232789,"Sivori et al., 2024",10.7554/eLife.91576,"10x droplet, 3'",whole cell,CPM,247,1,56023,25.033,0.421,0.026,0.564,66.4,Oprl1,Oprk1,44.41,20.421,197.626,1.0,1/1,pass,run,
J,sympathetic,pelvic,GSE232789,"Sivori et al., 2024",10.7554/eLife.91576,"10x droplet, 3'",whole cell,CPM,1444,2,40986,16.332,0.504,0.43,0.46,51.04,Oprl1,Oprm1,32.424,21.995,54.196,1.0,2/2,pass,run,
K,sympathetic,superior cervical,GSE231766,"Ziegler et al., 2023",10.1126/science.abn6366,"10x droplet, 3'",whole cell,CPM,1382,2,9885,18.68,0.27,0.57,0.73,21.56,Oprl1,Oprk1,25.72,15.934,52.141,1.0,2/2,pass,run,
L,sympathetic,lumbar chain,GSE232789,"Sivori et al., 2024",10.7554/eLife.91576,"10x droplet, 3'",whole cell,CPM,887,1,73326,24.757,1.675,0.033,0.393,76.55,Oprl1,Oprm1,14.779,12.001,18.827,1.0,1/1,pass,run,
M,sympathetic,thoracic chain,GSE78845,"Furlan et al., 2016",10.1038/nn.4376,full-length,whole cell,CPM,298,,33099,62.3,1.48,3.9,4.24,82.2,Oprl1,Oprk1,14.69,9.35,27.27,1.0,n/a,pass,not possible,"deposit is 298 sorted neurons, no non-neuronal cells"
N,sympathetic,stellate,GSE232789,"Sivori et al., 2024",10.7554/eLife.91576,"10x droplet, 3'",whole cell,CPM,2589,1,27931,27.55,0.562,0.031,4.53,52.53,Oprl1,Oprk1,6.082,5.162,7.274,1.0,1/1,pass,run,
O,sympathetic,stellate,GSE231924,"Sharma et al., 2023",10.7554/eLife.86295,"10x droplet, 3'",whole cell,CPM,1303,,,23.928,4.837,5.04,5.116,11.51,Oprl1,Oprk1,4.677,3.024,8.078,1.0,8/8,pass,not possible,"deposit is author-filtered neurons, no non-neuronal cells"
P,parasympathetic and enteric,sphenopalatine (VII),GSE232789,"Sivori et al., 2024",10.7554/eLife.91576,"10x droplet, 3'",whole cell,CPM,2014,1,37416,19.502,0.292,0.04,0.015,49.9,Oprl1,Oprm1,66.859,40.542,132.539,1.0,1/1,pass,run,
Q,parasympathetic and enteric,intrinsic cardiac,GSE330884,"Xu et al., 2026",10.1016/j.cell.2026.06.040,"10x droplet, 3'",whole cell,CPM,4513,3,52533,11.127,3.045,0.364,0.0,38.2,Oprl1,Oprm1,3.654,3.288,4.075,1.0,3/3,pass,run,
R,parasympathetic and enteric,"enteric submucosal, P24",GSE263422,"Li et al., 2025",10.1038/s41593-025-01962-x,"10x droplet, 3'",whole cell,CPM,7787,3,12874,35.567,0.179,16.142,3.77,32.37,Oprl1,Oprd1,2.203,2.05,2.367,1.0,3/3,pass,run,
S,parasympathetic and enteric,"enteric submucosal, P7",GSE263422,"Li et al., 2025",10.1038/s41593-025-01962-x,"10x droplet, 3'",whole cell,CPM,1648,2,8974,26.698,0.74,2.294,122.506,23.36,Oprk1,Oprl1,4.589,4.043,5.237,1.0,2/2,pass,run,
