gse,control,injury,gene,control_CPM,injury_CPM
GSE97090,Sham,SNA,Atf3,31.675,219.269
GSE97090,Sham,SNA,Oprl1,6.724,3.805
GSE97090,Sham,SNA,Oprm1,0.604,0.216
GSE97090,Sham,SNA,Oprd1,2.104,0.768
GSE97090,Sham,SNA,Oprk1,0.384,0.316
GSE97090,Sham,NAC,Atf3,31.675,219.575
GSE97090,Sham,NAC,Oprl1,6.724,3.787
GSE97090,Sham,NAC,Oprm1,0.604,0.514
GSE97090,Sham,NAC,Oprd1,2.104,1.224
GSE97090,Sham,NAC,Oprk1,0.384,0.32
GSE149770,ShamOld,SNIOld,Atf3,49.985,246.659
GSE149770,ShamOld,SNIOld,Oprl1,7.683,4.224
GSE149770,ShamOld,SNIOld,Oprm1,2.059,1.839
GSE149770,ShamOld,SNIOld,Oprd1,4.39,2.829
GSE149770,ShamOld,SNIOld,Oprk1,0.362,0.302
GSE161342,PBS,PBS.SNC,Atf3,11.193,517.619
GSE161342,PBS,PBS.SNC,Oprl1,21.557,9.0
GSE161342,PBS,PBS.SNC,Oprm1,9.603,4.513
GSE161342,PBS,PBS.SNC,Oprd1,18.659,4.902
GSE161342,PBS,PBS.SNC,Oprk1,2.683,1.305
GSE161342,IPA,IPA.SNC,Atf3,10.984,471.432
GSE161342,IPA,IPA.SNC,Oprl1,20.244,8.858
GSE161342,IPA,IPA.SNC,Oprm1,6.496,3.776
GSE161342,IPA,IPA.SNC,Oprd1,14.71,4.69
GSE161342,IPA,IPA.SNC,Oprk1,2.243,1.285
GSE138769,EESham,EESNA,Atf3,73.466,240.347
GSE138769,EESham,EESNA,Oprl1,5.855,2.836
GSE138769,EESham,EESNA,Oprm1,1.744,1.215
GSE138769,EESham,EESNA,Oprd1,2.798,1.485
GSE138769,EESham,EESNA,Oprk1,0.396,0.197
GSE138769,SHSham,SHSNA,Atf3,60.233,258.435
GSE138769,SHSham,SHSNA,Oprl1,5.915,2.861
GSE138769,SHSham,SHSNA,Oprm1,1.668,1.573
GSE138769,SHSham,SHSNA,Oprd1,2.71,1.316
GSE138769,SHSham,SHSNA,Oprk1,0.3,0.242
