gse,group,verdict,reason,unit,n_samples,n_columns,Oprl1,Oprm1,Oprd1,Oprk1,top_receptor,runner_up,margin,Snap25,Tubb3,Plp1,Sox10,Ptprc,Snap25_over_Plp1,Atf3,Fos,Jun,title,file
GSE327205,,unusable layout,"no gene column, or fewer than 3 sample columns",,8,,,,,,,,,,,,,,,,,,RNA-seq analysis of dorsal root ganglia (DRG) from MIA-induced osteoarthritis mice with acupuncture or no treatment: Focus on neuro-immune crosstalk genes,GSE327205_gene_expression_matrix_all_samples.txt.gz
GSE330561,,no matrix,no flat matrix; per-sample RAW archive only,,12,,,,,,,,,,,,,,,,,,Non-invasive electrical stimulation restores corneal nerve density and sensory function in diabetic neuropathy via KCNN-dependent mechanism,
GSE336875,,unusable layout,"no gene column, or fewer than 3 sample columns",,20,,,,,,,,,,,,,,,,,,Pitx2-associated early-onset glaucoma alters corneal innervation and sensory function in a sex-specific manner [RNA-Seq cornea],GSE336875_rna_expression.txt.gz
GSE336872,,unusable layout,"no gene column, or fewer than 3 sample columns",,20,,,,,,,,,,,,,,,,,,Pitx2-associated early-onset glaucoma alters corneal innervation and sensory function in a sex-specific manner [RNA-Seq Trigeminal Ganglion],GSE336872_rna_expression.txt.gz
GSE321975,,no matrix,no flat matrix; per-sample RAW archive only,,8,,,,,,,,,,,,,,,,,,Alyref Deficiency Exacerbates Chronic Inflammatory Pain by Impairing m5C-Dependent Nuclear Export of Ccn3 mRNA,
GSE326648,,unusable layout,"no gene column, or fewer than 3 sample columns",,40,,,,,,,,,,,,,,,,,,"Sexual dimorphism shapes AAK trajectory in Pax6 deficiency mouse model with early immune activation, impaired innervation, and altered tears",GSE326648_rna_expression.txt.gz
GSE329323,,no matrix,no flat matrix; per-sample RAW archive only,,18,,,,,,,,,,,,,,,,,,Establishing Sensory Neurons as Therapeutic  Targets in Peripheral Neuropathy Driven by Polyglutamine Expanded ATXN3 [Advil RNA-seq],
GSE320100,,no matrix,no flat matrix; per-sample RAW archive only,,12,,,,,,,,,,,,,,,,,,Multimodal characterization of sensorimotor peripheral neuropathy in a preclinical mouse model of SCA3,
GSE320015,,no matrix,no flat matrix; per-sample RAW archive only,,12,,,,,,,,,,,,,,,,,,Establishing Sensory Neurons as Therapeutic  Targets in Peripheral Neuropathy Driven by Polyglutamine Expanded ATXN3,
GSE281091,all,hold,"counts, so an ordering would compare transcript lengths",counts,24,13.0,21.625,24.327,9.842,6.469,Oprm1,Oprl1,1.125,1405.363,2590.963,377.947,103.93,7.796,3.7184,52.713,10.647,108.467,A distinct vagus-beta cell neural circuit senses glucose and modulates insulin secretion,GSE281091_Partek_Bulk_RNA-Seq_Exp_3B_Normalization_Normalized_counts_diet_types.txt.gz
GSE329119,all,hold,"counts, so an ordering would compare transcript lengths",counts,6,6.0,28.556,24.611,16.333,1.57,Oprl1,Oprm1,1.16,470.528,2711.632,699.919,399.692,2.301,0.6723,19.796,12.571,223.361,Differential Expression of LncRNAs in Diabetic Corneal Neuropathy and Its Implications in Pathogenesis,GSE329119_Expression_Gene.txt.gz
GSE275920,,no matrix,no flat matrix; per-sample RAW archive only,,4,,,,,,,,,,,,,,,,,,Neurogenic Monocyte Recruitment Drives Pathogenic Enteric Nervous System Remodeling in IBD,
GSE295356,all,hold,"counts, so an ordering would compare transcript lengths",counts,12,12.0,19.338,1.981,1.768,1.305,Oprl1,Oprm1,9.762,1877.035,3605.966,197.334,119.818,1.215,9.512,12.979,6.3,101.323,Nociceptor clock genes control excitability and pain perception in a sex and time-dependent manner,GSE295356_rawCounts.csv.gz
GSE295381,PtenHet,hold,"counts, so an ordering would compare transcript lengths",counts,6,3.0,18.68,11.863,14.361,3.732,Oprl1,Oprd1,1.301,1159.346,1959.164,659.435,127.721,11.699,1.7581,8.215,6.764,102.86,Altered primary somatosensory neuron development in a Pten heterozygous model for autism spectrum disorder,GSE295381_raw_counts.csv.gz
GSE295381,WT,hold,"counts, so an ordering would compare transcript lengths",counts,6,3.0,17.229,8.266,14.565,3.125,Oprl1,Oprd1,1.183,1145.003,2282.179,561.11,156.1,10.75,2.0406,7.801,9.907,105.863,Altered primary somatosensory neuron development in a Pten heterozygous model for autism spectrum disorder,GSE295381_raw_counts.csv.gz
GSE315051,cortex_TPM_rep,read,,length-normalised,7,3.0,52.86,,0.519,3.423,Oprl1,Oprk1,15.443,1247.989,608.676,267.313,41.392,1.487,4.6686,0.712,39.722,21.839,Integrated long- and short-read transcriptomics define TRP channel expression in adult mouse cortex,GSE315051_Nanopore_cortex_raw_TPMs.tsv.gz
GSE315051,cortex_TPM_mean,read,,length-normalised,7,1.0,52.86,,0.519,3.423,Oprl1,Oprk1,15.443,1247.989,608.676,267.313,41.392,1.487,4.6686,0.712,39.722,21.839,Integrated long- and short-read transcriptomics define TRP channel expression in adult mouse cortex,GSE315051_Nanopore_cortex_raw_TPMs.tsv.gz
GSE308948,,unusable layout,"no gene column, or fewer than 3 sample columns",,18,,,,,,,,,,,,,,,,,,Intranasal delivery of SARS-CoV-2 triggers cellular and molecular alterations in the mouse trigeminal ganglion and brainstem: focus on the nociceptive pathways related to migraine,GSE308948_TC_raw_counts.csv.gz
GSE302016,,no matrix,no flat matrix; per-sample RAW archive only,,3,,,,,,,,,,,,,,,,,,A sympathetic-eosinophil neuroimmune axis orchestrates psychological stress to exacerbate skin inflammation,
GSE318631,,unusable layout,"no gene column, or fewer than 3 sample columns",,6,,,,,,,,,,,,,,,,,,Sensory neuron dysfunction in dorsal root ganglia during disease onset in the SOD1G93A mouse model for ALS,GSE318631_gene_counts.tsv.gz
GSE306848,all,hold,"counts, so an ordering would compare transcript lengths",counts,8,8.0,15.834,16.243,16.804,8.918,Oprd1,Oprm1,1.035,1831.091,1839.167,560.136,91.179,3.213,3.269,8.43,4.846,64.774,Vip+ Vagal Neurons Control Allergen-Induced Responses,GSE306848_VG_HDM_counts.txt.gz
GSE302112,,no matrix,no flat matrix; per-sample RAW archive only,,51,,,,,,,,,,,,,,,,,,"Biological processes in hind paws, dorsal root ganglia and spinal cord after PTX treatment (the short model)",
GSE302110,,no matrix,no flat matrix; per-sample RAW archive only,,39,,,,,,,,,,,,,,,,,,Biological processes in hind paws and dorsal root ganglia in males and females after PTX treatment (the intermediate model),
GSE302021,,no matrix,no flat matrix; per-sample RAW archive only,,9,,,,,,,,,,,,,,,,,,"Biological processes in hind paws, dorsal root ganglia and spinal cord of PTX (the short model) and lymphotoxin-beta receptor (LTβR) antagonist treated mice",
GSE302020,,no matrix,no flat matrix; per-sample RAW archive only,,24,,,,,,,,,,,,,,,,,,"Biological processes in hind paws, dorsal root ganglia and spinal cord of lymphotoxin-beta receptor (LTβR) agonist treated mice",
GSE260740,,no matrix,no flat matrix; per-sample RAW archive only,,6,,,,,,,,,,,,,,,,,,Effect of  Rimegepant treatment on gene expression  in the trigeminal ganglion of mice on the tumor-transplanted side.,
GSE230458,,no matrix,no flat matrix; per-sample RAW archive only,,4,,,,,,,,,,,,,,,,,,Ribosome profiling of dorsal root ganglia tissues from mice with metabolic neuropathy,
GSE230457,,no matrix,no flat matrix; per-sample RAW archive only,,4,,,,,,,,,,,,,,,,,,RNA sequencing of dorsal root ganglia tissues from mice with metabolic neuropathy,
GSE320302,,unusable layout,"no gene column, or fewer than 3 sample columns",,31,,,,,,,,,,,,,,,,,,Early ingestive experience with a high-fat diet tunes satiation and nutrient-specific appetitive behaviors,GSE320302_rsem_count.txt.gz
GSE308024,,unusable layout,"no gene column, or fewer than 3 sample columns",,6,,,,,,,,,,,,,,,,,,The SETDB2/KLF4/IDE/CGRP signaling axis in sensory neurons involved in migraine [SETDB2-up],GSE308024_SETDB2-up.txt.gz
GSE308023,,unusable layout,"no gene column, or fewer than 3 sample columns",,6,,,,,,,,,,,,,,,,,,The SETDB2/KLF4/IDE/CGRP signaling axis in sensory neurons controls migraine [NTG],GSE308023_NTG.txt.gz
GSE289097,,no matrix,no flat matrix; per-sample RAW archive only,,6,,,,,,,,,,,,,,,,,,IRF7 Modulates Inflammatory Pain through upregulating IFNβ in mice,
GSE316925,,no matrix,no flat matrix; per-sample RAW archive only,,136,,,,,,,,,,,,,,,,,,Transcriptome changes in trigeminal ganglia in the mouse chronic constriction injury of the infraorbital nerve model - role of TRPM3.,
GSE284108,sample_17mo-F,hold,"Snap25 86.686 below 100 CPM; counts, so an ordering would compare transcript lengths",counts,17,2.0,1.63,0.0,8.885,0.295,Oprd1,Oprl1,5.451,86.686,85.352,9.205,1.431,0.444,9.4173,8.637,16.825,100.419,Profiling the aging transcriptome of the gut wall (longitudinal muscle and myenteric plexus) in mice,GSE284108_isoform_estimated_counts_all_samples.csv.gz
GSE284108,sample_17mo-M,hold,"Snap25 82.975 below 100 CPM; counts, so an ordering would compare transcript lengths",counts,17,3.0,1.268,0.0,8.399,0.309,Oprd1,Oprl1,6.624,82.975,84.647,8.456,0.0,0.53,9.8126,32.598,32.267,139.825,Profiling the aging transcriptome of the gut wall (longitudinal muscle and myenteric plexus) in mice,GSE284108_isoform_estimated_counts_all_samples.csv.gz
GSE284108,sample_6mo-F,hold,"Snap25 86.6 below 100 CPM; counts, so an ordering would compare transcript lengths",counts,17,3.0,1.964,0.0,10.558,0.38,Oprd1,Oprl1,5.376,86.6,87.447,10.615,0.709,0.683,8.1583,18.524,8.085,123.348,Profiling the aging transcriptome of the gut wall (longitudinal muscle and myenteric plexus) in mice,GSE284108_isoform_estimated_counts_all_samples.csv.gz
GSE284108,sample_6mo-M,hold,"Snap25 91.473 below 100 CPM; counts, so an ordering would compare transcript lengths",counts,17,3.0,1.225,0.001,9.501,0.409,Oprd1,Oprl1,7.756,91.473,90.329,10.03,0.393,0.781,9.1199,8.236,16.019,101.884,Profiling the aging transcriptome of the gut wall (longitudinal muscle and myenteric plexus) in mice,GSE284108_isoform_estimated_counts_all_samples.csv.gz
GSE284108,sample_P30-F,hold,"Snap25 88.59 below 100 CPM; counts, so an ordering would compare transcript lengths",counts,17,3.0,1.34,0.0,10.613,0.606,Oprd1,Oprl1,7.92,88.59,87.831,11.788,0.269,0.54,7.5153,4.704,22.601,108.372,Profiling the aging transcriptome of the gut wall (longitudinal muscle and myenteric plexus) in mice,GSE284108_isoform_estimated_counts_all_samples.csv.gz
GSE284108,sample_P30-M,hold,"Snap25 82.833 below 100 CPM; counts, so an ordering would compare transcript lengths",counts,17,3.0,2.125,0.0,11.282,0.383,Oprd1,Oprl1,5.309,82.833,92.582,11.864,0.0,0.511,6.9819,9.634,8.605,114.405,Profiling the aging transcriptome of the gut wall (longitudinal muscle and myenteric plexus) in mice,GSE284108_isoform_estimated_counts_all_samples.csv.gz
GSE266254,,no matrix,no flat matrix; per-sample RAW archive only,,6,,,,,,,,,,,,,,,,,,Inflammation Rewires the Enteric Nervous System Through Neurogenic Monocyte Recruitment,
GSE263945,,unusable layout,"no gene column, or fewer than 3 sample columns",,33,,,,,,,,,,,,,,,,,,Inflammation Rewires the Enteric Nervous System Through Neurogenic Monocyte Recruitment,GSE263945_raw_counts.txt.gz
GSE294967,all,hold,"counts, so an ordering would compare transcript lengths",counts,16,17.0,13.669,1.916,7.521,1.135,Oprl1,Oprd1,1.817,786.609,3127.014,337.876,170.639,9.173,2.3281,17.955,7.584,116.642,Bulk RNA-Seq of male and female lumbosacral dorsal root ganglia after VEGFA-instillation,GSE294967_CPM_all_samples.csv.gz
GSE275111,,no matrix,no flat matrix; per-sample RAW archive only,,25,,,,,,,,,,,,,,,,,,Dietary folic acid prevents peripheral neuropathy in mouse models of neural tube defects and type 2 diabetes,
GSE309905,,no matrix,no flat matrix; per-sample RAW archive only,,4,,,,,,,,,,,,,,,,,,PTEN regulates vagal-insulin signaling to optimize autonomic output determining peripheral inflammatory and metabolic homeostasis,
GSE305622,all,hold,"Snap25 52.836 below 100 CPM; counts, so an ordering would compare transcript lengths",counts,16,40.0,5.361,0.146,3.222,5.918,Oprk1,Oprl1,1.104,52.836,119.374,75.583,57.575,2.718,0.699,61.823,547.076,354.025,Proximal ganglionic intestine in Hirschsprung Disease is fibrotic and stiff,GSE305622_all_compare.txt.gz
GSE312476,,no matrix,no flat matrix; per-sample RAW archive only,,12,,,,,,,,,,,,,,,,,,Heat-Shock Pathway Activation by TRC-051384 Protects Spiral Ganglion Neurons from Noise-Induced Hearing Loss [RNA-Seq],
GSE289250,Control,hold,"Snap25 0.052 below 100 CPM; Snap25/Plp1 0.002 below 0.05; counts, so an ordering would compare transcript lengths",counts,9,3.0,0.498,0.058,0.096,0.0,Oprl1,Oprd1,5.188,0.052,2.501,22.876,16.08,66.308,0.0023,8.639,13.66,54.111,Paeonol Alleviates Skin Inflammation and Pruritus in Atopic Dermatitis by Inhibiting the TRPV3/NF-κB/CCL3 Axis of Keratinocytes,GSE289250_gene_count_matrix.txt.gz
GSE289250,Model,hold,"Snap25 0.147 below 100 CPM; Snap25/Plp1 0.007 below 0.05; counts, so an ordering would compare transcript lengths",counts,9,3.0,0.0,0.0,0.231,0.0,Oprd1,Oprl1,inf,0.147,90.472,19.91,7.54,53.048,0.0074,6.718,78.179,56.444,Paeonol Alleviates Skin Inflammation and Pruritus in Atopic Dermatitis by Inhibiting the TRPV3/NF-κB/CCL3 Axis of Keratinocytes,GSE289250_gene_count_matrix.txt.gz
GSE289250,Paeonol,hold,"Snap25 0.0 below 100 CPM; Snap25/Plp1 0.000 below 0.05; counts, so an ordering would compare transcript lengths",counts,9,3.0,0.25,0.0,0.114,0.0,Oprl1,Oprd1,2.193,0.0,49.103,14.41,9.129,43.757,0.0,9.641,25.751,62.067,Paeonol Alleviates Skin Inflammation and Pruritus in Atopic Dermatitis by Inhibiting the TRPV3/NF-κB/CCL3 Axis of Keratinocytes,GSE289250_gene_count_matrix.txt.gz
GSE218749,,no matrix,no flat matrix; per-sample RAW archive only,,12,,,,,,,,,,,,,,,,,,Urotensin II Activates Sensory-cutaneous Pathway to Promote Itch and Cutaneous Inflammation,
GSE309530,FPKM.Con_F,hold,"counts, so an ordering would compare transcript lengths",counts,18,3.0,21.558,0.809,9.303,0.927,Oprl1,Oprd1,2.317,555.378,4368.959,314.678,135.335,1.435,1.7649,19.651,8.883,121.47,RNA-seq profiling in dorsal root ganglian (DRG) after fracture surgery and Protectin DX treatment,GSE309530_Raw_processing.txt.gz
GSE309530,FPKM.Con_M,hold,"counts, so an ordering would compare transcript lengths",counts,18,3.0,21.562,0.867,7.576,1.303,Oprl1,Oprd1,2.846,500.282,4243.331,354.028,142.569,1.346,1.4131,19.498,10.239,123.164,RNA-seq profiling in dorsal root ganglian (DRG) after fracture surgery and Protectin DX treatment,GSE309530_Raw_processing.txt.gz
GSE309530,FPKM.Frac_F,hold,"counts, so an ordering would compare transcript lengths",counts,18,3.0,24.133,0.656,8.591,0.977,Oprl1,Oprd1,2.809,549.391,4754.71,328.697,126.349,1.024,1.6714,55.923,5.98,121.337,RNA-seq profiling in dorsal root ganglian (DRG) after fracture surgery and Protectin DX treatment,GSE309530_Raw_processing.txt.gz
GSE309530,FPKM.Frac_M,hold,"counts, so an ordering would compare transcript lengths",counts,18,3.0,26.556,0.896,10.809,1.281,Oprl1,Oprd1,2.457,559.59,4921.152,314.231,127.867,0.955,1.7808,67.024,7.426,125.67,RNA-seq profiling in dorsal root ganglian (DRG) after fracture surgery and Protectin DX treatment,GSE309530_Raw_processing.txt.gz
GSE309530,FPKM.Frac_PDX_F,hold,"counts, so an ordering would compare transcript lengths",counts,18,3.0,21.637,0.703,8.293,0.849,Oprl1,Oprd1,2.609,536.6,4993.811,315.694,124.157,1.223,1.6997,123.807,7.208,140.649,RNA-seq profiling in dorsal root ganglian (DRG) after fracture surgery and Protectin DX treatment,GSE309530_Raw_processing.txt.gz
GSE309530,FPKM.Frac_PDX_M,hold,"counts, so an ordering would compare transcript lengths",counts,18,3.0,25.502,0.831,8.693,0.961,Oprl1,Oprd1,2.934,556.113,4979.384,316.069,126.788,1.511,1.7595,67.173,5.981,132.218,RNA-seq profiling in dorsal root ganglian (DRG) after fracture surgery and Protectin DX treatment,GSE309530_Raw_processing.txt.gz
GSE309530,count.Con_F,hold,"counts, so an ordering would compare transcript lengths",counts,18,3.0,24.834,2.001,11.451,2.593,Oprl1,Oprd1,2.169,1154.098,2497.419,533.578,126.287,8.125,2.1629,12.942,6.41,118.431,RNA-seq profiling in dorsal root ganglian (DRG) after fracture surgery and Protectin DX treatment,GSE309530_Raw_processing.txt.gz
GSE309530,count.Con_M,hold,"counts, so an ordering would compare transcript lengths",counts,18,3.0,25.128,2.191,9.464,3.761,Oprl1,Oprd1,2.655,1054.901,2463.147,609.389,135.009,7.676,1.7311,13.051,7.522,121.835,RNA-seq profiling in dorsal root ganglian (DRG) after fracture surgery and Protectin DX treatment,GSE309530_Raw_processing.txt.gz
