set,gene,span_kb,whole_cell_CPM,nuclear_CPM,ratio,n_peers,peer_median_ratio,pct_of_peers
dissociation,Fos,3.389,448.82,0.874,0.0019,1132,0.469,0.0
dissociation,Fosb,7.355,132.63,0.365,0.0028,2495,0.639,0.0
dissociation,Jun,3.188,209.409,46.478,0.2219,1066,0.468,14.9
dissociation,Junb,4.246,175.293,19.136,0.1092,1479,0.519,2.6
dissociation,Jund,1.666,611.416,164.802,0.2695,391,0.372,30.2
dissociation,Egr1,5.173,207.857,5.828,0.028,1811,0.548,0.1
dissociation,Arc,3.487,8.078,1.27,0.1572,1177,0.475,6.0
dissociation,Npas4,5.962,6.673,4.185,0.6272,2077,0.576,54.0
dissociation,Atf3,47.748,151.716,6.154,0.0406,3854,1.512,0.0
dissociation,Socs3,3.993,79.006,2.851,0.0361,1387,0.506,0.4
dissociation,Hspa1a,2.966,23.564,1.375,0.0583,956,0.46,1.2
dissociation,Hspa1b,2.802,13.343,2.129,0.1596,880,0.444,7.6
receptor,Oprl1,7.123,11.561,5.218,0.4513,2431,0.635,31.8
receptor,Oprm1,279.692,9.634,244.495,25.3779,864,4.938,93.6
receptor,Oprd1,33.805,0.249,5.376,21.608,4305,1.242,99.2
receptor,Oprk1,17.708,4.068,4.627,1.1375,4202,0.932,60.1
