cell,division,Oprl1_FPKM,Phox2b_FPKM,Penk_FPKM
C20-3,gustatory (Phox2b+),2.1834,56.6163,17.0038
C83-1,gustatory (Phox2b+),0.3275,37.5252,0.3478
C63-3,somatosensory (Phox2b-),6.0134,4.6567,5.1089
C42-3,gustatory (Phox2b+),22.4226,79.5457,2158.9709
C20-1,somatosensory (Phox2b-),9.5855,0.2153,1.7326
C67-1,somatosensory (Phox2b-),12.0927,0.133,0.2675
C43-1,gustatory (Phox2b+),9.2246,75.0564,0.5023
C83-3,somatosensory (Phox2b-),5.0648,0.1371,1.1033
C05-3,gustatory (Phox2b+),3.3575,48.8185,5.7597
C75-1,somatosensory (Phox2b-),2.0816,2.3447,0.5895
C53-3,gustatory (Phox2b+),3.1665,30.2337,3.0825
C33-3,gustatory (Phox2b+),5.1516,53.3716,8.576
C07-1,gustatory (Phox2b+),4.4494,27.8431,914.9286
C59-1,somatosensory (Phox2b-),0.1486,0.1569,0.0
C29-1,gustatory (Phox2b+),2.9517,70.2074,0.2985
C74-3,gustatory (Phox2b+),1.5967,64.1944,0.2422
C23-3,somatosensory (Phox2b-),6.5699,1.6746,7.4582
C95-1,somatosensory (Phox2b-),0.0,0.3798,1.0187
C68-3,gustatory (Phox2b+),20.81,61.9929,224.0204
C46-3,gustatory (Phox2b+),5.3472,40.1539,15.143
C24-1,somatosensory (Phox2b-),13.7406,0.1648,1.3265
C71-1,somatosensory (Phox2b-),4.7834,0.1329,0.2673
C51-1,gustatory (Phox2b+),9.7999,99.8926,135.2938
C95-3,gustatory (Phox2b+),0.0,58.253,164.3183
C17-3,gustatory (Phox2b+),3.2668,135.4035,7.9794
C82-1,somatosensory (Phox2b-),1.674,0.3928,0.7901
C61-3,gustatory (Phox2b+),3.9129,73.5152,13.8513
C41-3,somatosensory (Phox2b-),8.0004,2.9244,1.3071
C19-1,gustatory (Phox2b+),8.3274,56.4005,116.4897
C65-1,gustatory (Phox2b+),10.4442,58.3199,0.0
C39-1,gustatory (Phox2b+),9.8251,81.849,105.8859
C82-3,gustatory (Phox2b+),5.5873,124.0501,0.2966
C03-3,gustatory (Phox2b+),11.5716,75.3295,6.3612
C74-1,gustatory (Phox2b+),4.7129,47.7083,0.3451
C50-3,gustatory (Phox2b+),0.1611,93.9264,6.5025
C32-3,gustatory (Phox2b+),7.0937,49.5551,15.8393
C06-1,gustatory (Phox2b+),9.427,37.9815,0.308
C58-1,gustatory (Phox2b+),5.5008,50.0814,0.0
C28-1,somatosensory (Phox2b-),5.3664,0.0,1.0057
C73-3,somatosensory (Phox2b-),3.0277,1.1723,0.643
C15-3,somatosensory (Phox2b-),0.0,2.0632,11.5603
C81-1,gustatory (Phox2b+),8.5967,66.6555,1.2506
C60-3,gustatory (Phox2b+),13.3194,61.7813,4.2302
C40-3,gustatory (Phox2b+),0.0,53.5068,0.6943
C17-1,somatosensory (Phox2b-),2.8611,0.0,1.688
C64-1,gustatory (Phox2b+),0.632,46.0538,0.5369
C37-1,gustatory (Phox2b+),2.2721,53.1638,2385.226
C80-3,gustatory (Phox2b+),2.5247,63.7186,7.7753
C22-3,gustatory (Phox2b+),10.5517,53.0481,950.0451
C86-1,gustatory (Phox2b+),3.8808,67.4068,937.1043
C67-3,gustatory (Phox2b+),4.2074,106.9498,1.9149
C45-3,gustatory (Phox2b+),0.0,72.0145,0.5003
C23-1,somatosensory (Phox2b-),10.4382,0.1722,1.0392
C69-1,somatosensory (Phox2b-),6.1952,0.0,0.8223
C49-1,gustatory (Phox2b+),1.8635,34.0157,2.2617
C92-3,somatosensory (Phox2b-),6.0922,0.0,0.6692
C09-3,gustatory (Phox2b+),2.9019,75.7347,12.6205
C77-1,gustatory (Phox2b+),22.4497,78.4919,0.2907
C55-3,somatosensory (Phox2b-),0.5403,0.0,0.765
C36-3,gustatory (Phox2b+),2.2778,11.7437,55.4942
C10-1,gustatory (Phox2b+),2.884,24.0256,1.3612
C62-1,gustatory (Phox2b+),7.3182,69.2944,260.6141
C35-1,gustatory (Phox2b+),2.1006,36.4156,0.0
C78-3,gustatory (Phox2b+),7.4112,51.3679,0.2861
C21-3,gustatory (Phox2b+),6.615,93.0985,0.4844
C84-1,gustatory (Phox2b+),22.9644,105.3753,455.8196
C65-3,somatosensory (Phox2b-),7.2753,0.3073,0.309
C44-3,somatosensory (Phox2b-),7.3702,0.4789,1.6858
C22-1,gustatory (Phox2b+),4.9527,115.8069,1.127
C68-1,gustatory (Phox2b+),12.5402,52.8356,0.538
C44-1,somatosensory (Phox2b-),0.1416,0.1495,0.9022
C91-3,gustatory (Phox2b+),0.0,30.4857,8.7988
C01-3,gustatory (Phox2b+),1.4239,59.1041,9.3055
C73-1,somatosensory (Phox2b-),1.8234,0.2265,0.6834
C49-3,somatosensory (Phox2b-),0.596,0.5035,0.2531
C30-3,gustatory (Phox2b+),4.2014,81.4262,36.7444
C05-1,gustatory (Phox2b+),7.0849,52.0661,0.9213
C55-1,gustatory (Phox2b+),12.9679,56.0106,0.4515
C25-1,gustatory (Phox2b+),13.5112,26.8491,7.5655
C69-3,gustatory (Phox2b+),0.2198,69.5206,0.2334
C10-3,gustatory (Phox2b+),9.4445,33.6243,6.0178
C80-1,gustatory (Phox2b+),4.0908,58.8784,1167.8277
C57-3,gustatory (Phox2b+),0.1683,82.6692,1.0727
C38-3,somatosensory (Phox2b-),2.0968,0.738,2.9691
C11-1,somatosensory (Phox2b-),7.1218,0.6836,2.7502
C63-1,somatosensory (Phox2b-),4.9471,0.0,0.9271
C36-1,somatosensory (Phox2b-),7.7693,0.4643,0.6227
C79-3,somatosensory (Phox2b-),11.5452,0.0,0.5162
C06-3,somatosensory (Phox2b-),5.1934,1.371,2.0682
C76-1,somatosensory (Phox2b-),5.0337,0.1328,1.3364
C54-3,gustatory (Phox2b+),0.0,84.9005,4047.3906
C35-3,gustatory (Phox2b+),4.6803,10.026,19.8817
C08-1,gustatory (Phox2b+),12.8309,68.6597,1587.9685
C61-1,somatosensory (Phox2b-),0.7829,0.1653,1.3304
C30-1,somatosensory (Phox2b-),0.8782,0.4636,1.5544
C76-3,somatosensory (Phox2b-),0.0,0.1327,1.0682
