gene,n_populations_above_Oprl1
Gabbr1,13.0
Adgrb3,11.0
Adgrl1,11.0
Gpr22,11.0
Chrm2,10.0
Adgrl3,10.0
Fzd3,10.0
Adcyap1r1,10.0
Gpr85,9.0
Cnr1,9.0
Gpr137,9.0
Gpr162,9.0
Ackr1,9.0
Gpr27,8.0
Gpr45,8.0
Adgre1,8.0
Celsr2,8.0
Gpr158,7.0
F2r,7.0
Chrm1,7.0
Adgrb2,7.0
Gpr107,7.0
Adra2c,7.0
Gpr19,6.0
Adgrb1,6.0
Agtr1a,6.0
Rxfp1,6.0
Grm7,6.0
Pth1r,6.0
Sctr,5.0
Hcrtr1,5.0
Celsr3,5.0
Cxcr4,5.0
Adra2a,5.0
S1pr3,4.0
Gpr37l1,4.0
Lpar1,4.0
Gabbr2,4.0
Ednrb,4.0
Npy2r,4.0
Adgrl2,4.0
Fzd5,4.0
Adora1,3.0
Adgra1,3.0
Ptger4,3.0
Adgrg1,3.0
Gprc5c,3.0
Gpr153,3.0
P2ry1,2.0
F2rl2,2.0
Htr1d,2.0
Mrgpre,2.0
Gpr176,2.0
P2ry14,2.0
Bdkrb2,2.0
Ffar3,2.0
Agtr2,2.0
Sstr1,2.0
Ptger3,2.0
Trhr,2.0
Gpr39,1.0
Tacr1,1.0
Calcrl,1.0
Htr7,1.0
Tpra1,1.0
Gpr119,1.0
Gpr139,1.0
Tshr,1.0
Gpr65,1.0
Sstr2,1.0
Grm8,1.0
Gprc5b,1.0
Lgr4,1.0
Chrm3,1.0
Crhr1,1.0
Drd2,1.0
C5ar1,1.0
Ptgdr,1.0
Galr1,1.0
Gpr50,1.0
Gpr146,1.0
Ccrl2,1.0
Adgrf5,1.0
Adrb2,1.0
Adora2a,1.0
Lgr5,1.0
Ednra,1.0
Gpr135,1.0
Adgra3,1.0
Oxtr,1.0
Gpr149,1.0
Ntsr1,1.0
Vipr2,1.0
Adgrg6,1.0
Avpr1a,1.0
Gcgr,1.0
P2ry6,1.0
Oprk1,1.0
Gper1,1.0
