dataset,tissue,n_cells,n_gpcr_in_annotation,n_gpcr_detected,Oprl1_CPM,Oprl1_pct_detected,rank_of_annotated,rank_of_detected,percentile_of_detected,transcriptome_percentile,Oprm1_rank,Oprd1_rank,Oprk1_rank,higher_than_Oprl1
GSE102443,geniculate (VII),96,231,231,5.733,91.67,22,22,90.9,63.8,121,107,74.0,P2ry1;F2rl2;Gpr39;Chrm2;F2r;Pth1r;P2ry14;Htr1d;Tpra1;S1pr3;Cnr1;Gpr158;Gprc5c;Gabbr1;Grm7;Gpr119;Gpr19;Trhr;Gpr139;Gpr137;Gabbr2
GSE135801,geniculate (VII),454,315,263,18.983,19.6,27,27,90.1,65.7,252,69,79.0,P2ry1;Htr7;Gabbr1;F2r;Cnr1;Pth1r;Lpar1;Calcrl;S1pr3;Grm7;Adora1;Gpr137;F2rl2;Gpr158;P2ry14;Celsr2;Ednrb;Gpr153;Tacr1;Gpr85;Gpr65;Tshr;Fzd3;Gprc5c;Trhr;Htr1d
GSE309608,vestibular (VIII),6596,352,323,19.879,57.57,31,31,90.7,72.3,101,211,68.0,Adgrl3;Gabbr2;Adgrb3;Adgrb1;Gabbr1;Grm8;F2r;Grm7;Chrm3;Crhr1;Adgrl1;Gprc5b;Ackr1;Gpr137;Pth1r;Gpr158;Celsr2;Fzd3;Adgrl2;Gprc5c;Ptger3;Gpr22;Adora1;Lgr4;Gpr162;Adra2c;Gpr37l1;Gpr107;Adgrb2;Gpr45
GSE232789,stellate,2589,352,287,27.55,52.53,21,21,93.0,77.7,136,229,63.0,Adgrl1;Gabbr1;Rxfp1;Sctr;Adgrb3;Gpr85;Agtr1a;Gpr22;Adcyap1r1;Adgrl3;Adgre1;Gpr162;Adra2a;Hcrtr1;Ackr1;Cxcr4;Gpr19;Chrm2;Gpr27;Chrm1
GSE232789,coeliac,247,352,236,25.033,66.4,25,25,89.8,70.9,138,228,125.0,Adgrl1;Gabbr1;Adgrb3;Gpr22;Adgrl3;Adcyap1r1;Gpr85;Fzd3;Rxfp1;Cxcr4;Adra2c;Agtr1a;Chrm2;Cnr1;Sctr;Fzd5;Sstr2;Gpr162;Gpr27;Gpr45;Adgre1;Celsr2;Agtr2;Ffar3
GSE232789,lumbar chain,887,352,278,24.757,76.55,23,23,92.1,74.3,89,227,140.0,Adgrl1;Gabbr1;Adgrl3;Adgrb3;Gpr22;Chrm2;Rxfp1;Adra2c;Gpr27;Gpr85;Sctr;Adcyap1r1;Cxcr4;Gpr162;Fzd3;Agtr1a;Adra2a;Gpr45;Fzd5;Ackr1;Celsr2;Cnr1
GSE231766,superior cervical,1382,354,271,18.679,21.56,38,38,86.3,75.0,193,167,155.0,Gabbr1;S1pr3;Hcrtr1;Sctr;Adgrl1;Chrm2;Adgrg1;Adcyap1r1;Adra2a;Cxcr4;Adgrb2;Ackr1;Gpr158;Gpr137;Lpar1;Chrm1;Adgrb1;Ednrb;Gpr22;Adra2c;Gpr45;Adgrf5;Gpr37l1;Rxfp1;Gpr176;Ccrl2;Mrgpre;Adgrl3;Agtr1a;Fzd3;Adgre1;Grm7;Gpr146;C5ar1;Adgrl2;Gpr107;Adgrb3
GSE231924,stellate,1303,264,219,23.928,11.51,35,35,84.5,61.4,81,78,77.0,Sctr;Rxfp1;Adgrl1;Gabbr1;Adgrb3;Adgrl3;Adgrb2;Hcrtr1;Adcyap1r1;Celsr3;Chrm2;Adgrb1;S1pr3;Ackr1;Gpr107;Gpr37l1;Lpar1;Gpr158;Agtr1a;Gpr45;Gpr22;Grm7;Gpr137;Chrm1;Adgrg1;Celsr2;Drd2;Cxcr4;Fzd3;Adra2c;Adra2a;Gpr162;Bdkrb2;Ednrb
GSE232789,sphenopalatine,2014,352,277,19.502,49.9,34,34,88.1,71.0,169,236,255.0,Cnr1;Adgrl1;Gabbr1;Adgre1;Gpr22;Adgrl3;Adcyap1r1;Galr1;Gpr85;Chrm2;Ackr1;Adgrb3;Chrm1;Gpr45;Gpr137;Gpr162;Celsr2;Pth1r;Adora1;Ptgdr;Grm7;Gpr50;Lgr5;Gpr27;Hcrtr1;Lpar1;Fzd3;Adgrb2;Adgra1;Celsr3;Gpr107;Gpr19;Gpr153
GSE330884,intrinsic cardiac,4513,351,282,11.127,38.2,41,41,85.8,62.0,73,128,,Gabbr1;Chrm2;Gpr22;Adgrl1;F2r;Cnr1;Ptger3;Adcyap1r1;Adgrb3;Gpr45;Ackr1;Fzd3;Chrm1;Rxfp1;Gpr137;Adra2c;Gpr158;Adgra1;Hcrtr1;Adgrl3;Gpr27;Celsr2;Adora2a;Gpr85;Adrb2;Adgre1;Adgrb1;Celsr3;Gabbr2;Mrgpre;Gpr107;Npy2r;Ednra;Adgrg1;Fzd5;Adgrb2;Adgra3;Gpr19;Gpr135;Gpr162
