dataset,gene,neuron_CPM,non_neuron_CPM,n_neurons,n_non_neurons,log2_enrichment
GSE201654 human DRG,OPRL1,0.5789,1.0453,43,25751,-0.841
GSE201654 human DRG,OPRM1,90.8631,4.9404,43,25751,4.198
GSE201654 human DRG,OPRD1,23.1089,1.322,43,25751,4.117
GSE201654 human DRG,OPRK1,19.8614,16.1442,43,25751,0.299
GSE201654 human DRG,SNAP25,847.1803,9.5867,43,25751,6.464
GSE201654 human DRG,PLP1,40.3001,138.2538,43,25751,-1.778
GSE201654 human DRG,PTPRC,0.5695,88.2795,43,25751,-7.251
GSE241386 human stellate,OPRL1,0.6444,0.5534,366,15141,0.216
GSE241386 human stellate,OPRM1,90.1285,8.614,366,15141,3.386
GSE241386 human stellate,OPRD1,22.7256,2.3279,366,15141,3.282
GSE241386 human stellate,OPRK1,3.1611,15.1973,366,15141,-2.262
GSE241386 human stellate,SNAP25,789.1471,34.4887,366,15141,4.516
GSE241386 human stellate,PLP1,29.2604,206.5325,366,15141,-2.819
GSE241386 human stellate,PTPRC,0.3134,15.1504,366,15141,-5.551
