type,n_cells,gene,TPM_mean,TPM_median,CPM_mean,pct_detected,soma_um_median
hATF3,23,OPRL1,0.221,0.0,0.2562,4.3478,55.3596
hATF3,23,OPRM1,0.7015,0.0,5.6112,21.7391,55.3596
hATF3,23,OPRD1,1.1266,0.0,3.9481,39.1304,55.3596
hATF3,23,OPRK1,0.8047,0.0,1.7986,21.7391,55.3596
hAb.LTMR,150,OPRL1,1.1528,0.0,1.7036,18.0,65.736
hAb.LTMR,150,OPRM1,2.2717,0.0,18.4745,40.0,65.736
hAb.LTMR,150,OPRD1,1.8343,0.0,6.9583,28.6667,65.736
hAb.LTMR,150,OPRK1,1.2252,0.0,3.3624,16.0,65.736
hAd.LTMR,94,OPRL1,0.7015,0.0,0.9494,6.383,48.178
hAd.LTMR,94,OPRM1,0.3122,0.0,2.7589,30.8511,48.178
hAd.LTMR,94,OPRD1,0.6626,0.0,2.4773,25.5319,48.178
hAd.LTMR,94,OPRK1,0.2674,0.0,0.6459,8.5106,48.178
hC.LTMR,9,OPRL1,0.0,0.0,0.0,0.0,38.8923
hC.LTMR,9,OPRM1,0.4373,0.0,3.4315,44.4444,38.8923
hC.LTMR,9,OPRD1,5.0543,3.1205,16.5046,66.6667,38.8923
hC.LTMR,9,OPRK1,0.5541,0.0,1.2397,11.1111,38.8923
hNP1,154,OPRL1,0.0,0.0,0.0,0.0,48.1647
hNP1,154,OPRM1,0.6487,0.0,5.0005,29.2208,48.1647
hNP1,154,OPRD1,17.7075,14.2655,60.7082,85.7143,48.1647
hNP1,154,OPRK1,3.5562,0.0,7.6556,30.5195,48.1647
hNP2,19,OPRL1,0.0,0.0,0.0,0.0,47.3919
hNP2,19,OPRM1,1.9678,0.973,14.437,63.1579,47.3919
hNP2,19,OPRD1,10.2446,6.5892,35.6426,68.4211,47.3919
hNP2,19,OPRK1,3.1943,0.0,6.706,26.3158,47.3919
hPEP.0,144,OPRL1,0.1904,0.0,0.3331,1.3889,52.7207
hPEP.0,144,OPRM1,8.603,2.9789,80.3775,68.75,52.7207
hPEP.0,144,OPRD1,1.307,0.0,5.2089,15.9722,52.7207
hPEP.0,144,OPRK1,0.5083,0.0,1.4427,9.0278,52.7207
hPEP.CHRNA7,72,OPRL1,1.905,0.0,2.8077,9.7222,50.3932
hPEP.CHRNA7,72,OPRM1,7.7355,2.8486,63.473,75.0,50.3932
hPEP.CHRNA7,72,OPRD1,0.72,0.0,2.5836,22.2222,50.3932
hPEP.CHRNA7,72,OPRK1,0.3717,0.0,0.9133,11.1111,50.3932
hPEP.KIT,25,OPRL1,1.4323,0.0,2.0048,16.0,49.5974
hPEP.KIT,25,OPRM1,28.1934,25.1574,240.4802,100.0,49.5974
hPEP.KIT,25,OPRD1,0.6408,0.0,2.9363,12.0,49.5974
hPEP.KIT,25,OPRK1,2.9878,0.0,7.0428,28.0,49.5974
hPEP.NTRK3,70,OPRL1,0.6993,0.0,1.0329,11.4286,58.0869
hPEP.NTRK3,70,OPRM1,15.3628,14.0292,131.0867,90.0,58.0869
hPEP.NTRK3,70,OPRD1,6.446,4.5773,24.3817,62.8571,58.0869
hPEP.NTRK3,70,OPRK1,0.9511,0.0,2.1502,15.7143,58.0869
hPEP.PIEZOh,59,OPRL1,0.8225,0.0,1.0465,15.2542,51.9667
hPEP.PIEZOh,59,OPRM1,24.962,20.8119,187.0178,96.6102,51.9667
hPEP.PIEZOh,59,OPRD1,2.6666,0.8264,9.2308,59.322,51.9667
hPEP.PIEZOh,59,OPRK1,1.0799,0.0,2.2208,25.4237,51.9667
hPEP.SST,43,OPRL1,0.09,0.0,0.1526,2.3256,45.1851
hPEP.SST,43,OPRM1,28.9849,24.433,258.1591,100.0,45.1851
hPEP.SST,43,OPRD1,2.3721,0.0,9.3822,37.2093,45.1851
hPEP.SST,43,OPRK1,6.5643,0.0,14.9736,27.907,45.1851
hPEP.TRPV1/A1.1,57,OPRL1,0.0309,0.0,0.0377,1.7544,44.3526
hPEP.TRPV1/A1.1,57,OPRM1,24.5295,18.733,207.8673,96.4912,44.3526
hPEP.TRPV1/A1.1,57,OPRD1,4.6437,0.0,18.3807,40.3509,44.3526
hPEP.TRPV1/A1.1,57,OPRK1,6.0242,0.0,14.2536,35.0877,44.3526
hPEP.TRPV1/A1.2,22,OPRL1,0.0,0.0,0.0,0.0,41.5206
hPEP.TRPV1/A1.2,22,OPRM1,46.9403,49.9193,358.4184,100.0,41.5206
hPEP.TRPV1/A1.2,22,OPRD1,5.9025,0.0,21.4913,40.9091,41.5206
hPEP.TRPV1/A1.2,22,OPRK1,1.8773,0.0,3.6597,22.7273,41.5206
hPropr,112,OPRL1,0.5883,0.0,0.8885,12.5,62.485
hPropr,112,OPRM1,0.2406,0.0,2.2957,27.6786,62.485
hPropr,112,OPRD1,0.9096,0.0,3.5643,26.7857,62.485
hPropr,112,OPRK1,0.8841,0.0,2.112,23.2143,62.485
hTRPM8,8,OPRL1,3.8259,0.0,5.8888,25.0,39.8833
hTRPM8,8,OPRM1,1.1323,0.0,8.7231,37.5,39.8833
hTRPM8,8,OPRD1,4.8764,2.6152,17.9793,75.0,39.8833
hTRPM8,8,OPRK1,16.0149,0.0,31.3415,12.5,39.8833
