species,sample,n,OPRL1,OPRM1,OPRD1,OPRK1,SNAP25,PRPH,SCN9A,PLP1,OPRL1_enr,OPRM1_enr,OPRD1_enr,OPRK1_enr,top
guinea pig,GSM6067401,2251,23.578,50.766,4.674,0.248,975.5,2076.7,316.1,42.6,1.5,1.43,4.08,-2.47,OPRM1
guinea pig,GSM6067402,609,5.015,25.89,5.414,0.935,370.3,643.7,220.3,113.7,2.45,1.28,3.91,1.06,OPRM1
guinea pig,GSM6067403,491,2.999,9.749,1.371,5.355,450.6,561.4,141.1,122.3,2.25,0.34,2.72,0.68,OPRM1
guinea pig,GSM6067404,4979,25.889,23.159,2.323,0.978,1328.2,2144.6,195.7,40.4,1.6,0.91,1.8,0.26,OPRL1
macaque,GSM6068077,4724,8.831,59.998,3.288,2.583,486.5,44.5,471.2,64.2,0.24,0.77,1.98,0.83,OPRM1
macaque,GSM6068078,3010,9.838,45.028,2.291,2.917,672.0,31.2,487.6,38.0,0.83,1.17,0.97,2.24,OPRM1
macaque,GSM6068079,1134,12.173,57.516,2.038,1.058,671.0,36.3,640.5,30.6,1.33,0.47,-0.05,3.96,OPRM1
macaque,GSM6068080,8844,14.735,84.891,3.862,3.875,390.4,50.2,469.6,52.7,0.12,0.68,1.29,0.42,OPRM1
macaque,GSM6068081,312,4.806,24.158,2.8,2.117,248.4,9.3,535.2,126.0,0.65,-0.2,-0.23,-0.87,OPRM1
macaque,GSM6068082,281,8.975,42.991,8.342,1.489,351.2,21.9,460.4,74.6,2.51,0.59,0.48,-1.45,OPRM1
mouse,GSM6069069,2793,10.095,134.381,3.08,4.502,444.4,1804.2,581.6,58.9,2.38,1.61,2.7,5.83,OPRM1
mouse,GSM6069070,6278,9.537,100.462,2.545,3.312,623.2,2426.3,439.0,80.2,1.33,1.18,1.16,1.38,OPRM1
mouse,GSM6069071,1004,4.597,88.15,2.946,0.424,518.6,1090.5,651.0,58.7,3.65,4.05,4.5,0.84,OPRM1
mouse,GSM6069072,1243,7.929,89.754,2.739,1.727,552.9,1928.6,455.5,58.8,1.59,1.83,1.73,0.58,OPRM1
mouse,GSM6069073,316,1.747,53.91,0.203,0.0,344.9,1198.2,190.3,37.8,0.58,3.6,-0.19,0.0,OPRM1
mouse,GSM6069074,1609,11.675,102.881,2.457,3.07,593.4,2228.6,365.1,48.6,1.97,1.72,2.68,1.67,OPRM1
human,GSM6068093,3075,0.281,2.85,0.877,21.289,8.5,15.5,637.5,122.2,-2.78,-0.04,-0.74,0.92,OPRK1
human,GSM6068094,277,0.0,3.303,0.0,38.617,8.2,26.5,1029.3,18.1,0.0,-0.6,-6.77,0.26,OPRK1
human,GSM6068095,2421,0.506,6.245,0.8,37.129,24.5,58.5,818.2,95.4,-2.7,0.13,-0.38,1.6,OPRK1
human,GSM6068096,2470,0.064,5.911,1.96,37.597,27.5,41.3,872.4,78.1,-2.91,-0.38,0.17,1.51,OPRK1
human,GSM6068097,475,0.052,5.817,4.988,10.912,73.0,147.5,613.3,46.0,-1.79,0.57,2.34,2.73,OPRK1
human,GSM6068098,1039,1.781,8.737,2.729,11.697,36.0,120.3,575.0,68.6,0.39,0.8,1.21,2.04,OPRK1
