tissue,dataset,Oprl1,Pnoc,Oprl1_over_Pnoc,Pnoc_in_matrix,Oprl1_transcriptome_percentile,prep
geniculate,GSE102443,5.7329,0.0,,False,63.8,whole cell
geniculate,GSE135801,18.9825,0.5981,31.740524577111128,True,65.7,whole cell
nodose,NodoMap,11.7486,0.7295,16.105014451077626,True,,mixed (pooled)
jugular,NodoMap,9.5359,3.3618,2.836519258442193,True,,mixed (pooled)
nodose+jugular,NodoMap:Bai,11.8375,0.7692,15.38936749333378,True,,whole cell
nodose+jugular,NodoMap:Buchanan,9.5932,0.7282,13.173078299720958,True,,whole cell
nodose+jugular,NodoMap:Kupari,11.0939,1.0698,10.369673877696297,True,,whole cell
nodose+jugular,NodoMap:Zhao,11.9827,1.2297,9.744306092804017,True,,whole cell
nodose+jugular,NodoMap:inhouse,5.2177,1.4388,3.626422843105555,True,,nuclear
NTS,GSE166648,15.7863,6.3534,2.484706168285568,True,,nuclear
