deposit,type,n_cells,gene,TPM_mean,pct_detected
GSE165553 SMART-seq2,A-LTMR,22,OPRL1,2.8174,63.6364
GSE165553 SMART-seq2,A-LTMR,22,OPRM1,0.0,0.0
GSE165553 SMART-seq2,A-LTMR,22,OPRD1,2.0973,45.4545
GSE165553 SMART-seq2,A-LTMR,22,OPRK1,0.0,0.0
GSE165553 SMART-seq2,C-LTMR,124,OPRL1,3.5474,82.2581
GSE165553 SMART-seq2,C-LTMR,124,OPRM1,0.8136,4.8387
GSE165553 SMART-seq2,C-LTMR,124,OPRD1,3.9748,63.7097
GSE165553 SMART-seq2,C-LTMR,124,OPRK1,0.5442,16.9355
GSE165553 SMART-seq2,NP1,219,OPRL1,0.8421,15.9817
GSE165553 SMART-seq2,NP1,219,OPRM1,3.3304,11.8721
GSE165553 SMART-seq2,NP1,219,OPRD1,37.5937,96.8037
GSE165553 SMART-seq2,NP1,219,OPRK1,2.1818,43.379
GSE165553 SMART-seq2,NP2,129,OPRL1,0.0649,4.6512
GSE165553 SMART-seq2,NP2,129,OPRM1,0.3274,20.9302
GSE165553 SMART-seq2,NP2,129,OPRD1,30.9412,99.2248
GSE165553 SMART-seq2,NP2,129,OPRK1,0.3639,17.0543
GSE165553 SMART-seq2,NP3,113,OPRL1,4.8765,92.9204
GSE165553 SMART-seq2,NP3,113,OPRM1,56.5634,100.0
GSE165553 SMART-seq2,NP3,113,OPRD1,15.2239,91.1504
GSE165553 SMART-seq2,NP3,113,OPRK1,3.7948,67.2566
GSE165553 SMART-seq2,PEP1,384,OPRL1,5.8727,88.8021
GSE165553 SMART-seq2,PEP1,384,OPRM1,26.9365,97.9167
GSE165553 SMART-seq2,PEP1,384,OPRD1,11.4154,76.5625
GSE165553 SMART-seq2,PEP1,384,OPRK1,15.8872,84.8958
GSE165553 SMART-seq2,PEP2,3,OPRL1,5.8365,100.0
GSE165553 SMART-seq2,PEP2,3,OPRM1,5.1361,100.0
GSE165553 SMART-seq2,PEP2,3,OPRD1,35.4387,100.0
GSE165553 SMART-seq2,PEP2,3,OPRK1,1.9061,33.3333
GSE165553 SMART-seq2,PEP3,35,OPRL1,10.0513,88.5714
GSE165553 SMART-seq2,PEP3,35,OPRM1,9.0943,82.8571
GSE165553 SMART-seq2,PEP3,35,OPRD1,65.5829,68.5714
GSE165553 SMART-seq2,PEP3,35,OPRK1,0.2797,2.8571
GSE165553 SMART-seq2,TrpM8high,11,OPRL1,7.3219,90.9091
GSE165553 SMART-seq2,TrpM8high,11,OPRM1,5.0334,63.6364
GSE165553 SMART-seq2,TrpM8high,11,OPRD1,4.0775,45.4545
GSE165553 SMART-seq2,TrpM8high,11,OPRK1,21.5384,72.7273
GSE165566 WaferGen,A-LTMR,16,OPRL1,1.7462,12.5
GSE165566 WaferGen,A-LTMR,16,OPRM1,0.0,0.0
GSE165566 WaferGen,A-LTMR,16,OPRD1,0.0,0.0
GSE165566 WaferGen,A-LTMR,16,OPRK1,1.6709,12.5
GSE165566 WaferGen,C-LTMR,170,OPRL1,1.3391,11.7647
GSE165566 WaferGen,C-LTMR,170,OPRM1,0.0441,0.5882
GSE165566 WaferGen,C-LTMR,170,OPRD1,1.8827,8.2353
GSE165566 WaferGen,C-LTMR,170,OPRK1,0.8305,7.0588
GSE165566 WaferGen,NP1,1084,OPRL1,0.0999,1.107
GSE165566 WaferGen,NP1,1084,OPRM1,0.2061,2.0295
GSE165566 WaferGen,NP1,1084,OPRD1,8.1398,33.1181
GSE165566 WaferGen,NP1,1084,OPRK1,0.789,5.6273
GSE165566 WaferGen,NP2,671,OPRL1,0.0591,0.7452
GSE165566 WaferGen,NP2,671,OPRM1,0.0293,0.5961
GSE165566 WaferGen,NP2,671,OPRD1,10.2677,43.8152
GSE165566 WaferGen,NP2,671,OPRK1,0.2057,1.7884
GSE165566 WaferGen,NP3,137,OPRL1,0.5505,5.1095
GSE165566 WaferGen,NP3,137,OPRM1,4.9598,47.4453
GSE165566 WaferGen,NP3,137,OPRD1,7.822,35.7664
GSE165566 WaferGen,NP3,137,OPRK1,2.774,21.8978
GSE165566 WaferGen,PEP1,334,OPRL1,1.6693,13.4731
GSE165566 WaferGen,PEP1,334,OPRM1,3.1212,29.3413
GSE165566 WaferGen,PEP1,334,OPRD1,4.1909,18.2635
GSE165566 WaferGen,PEP1,334,OPRK1,11.7193,49.4012
GSE165566 WaferGen,PEP2,29,OPRL1,0.8108,10.3448
GSE165566 WaferGen,PEP2,29,OPRM1,1.9458,20.6897
GSE165566 WaferGen,PEP2,29,OPRD1,24.8734,37.931
GSE165566 WaferGen,PEP2,29,OPRK1,0.8647,6.8966
GSE165566 WaferGen,PEP3,50,OPRL1,4.089,20.0
GSE165566 WaferGen,PEP3,50,OPRM1,1.7122,18.0
GSE165566 WaferGen,PEP3,50,OPRD1,2.5656,8.0
GSE165566 WaferGen,PEP3,50,OPRK1,1.2309,6.0
GSE165566 WaferGen,TrpM8high,27,OPRL1,2.8495,14.8148
GSE165566 WaferGen,TrpM8high,27,OPRM1,0.8158,7.4074
GSE165566 WaferGen,TrpM8high,27,OPRD1,1.7219,7.4074
GSE165566 WaferGen,TrpM8high,27,OPRK1,13.0473,25.9259
