gene,nav11_mean,nav18_mean,ratio,kruskal_p,is_target
Oprl1,25.29,6.286,4.024,0.0009502496592265887,True
1110019D14Rik,4.806,6.538,0.735,0.03668277440246512,False
1700019D03Rik,48.504,15.788,3.072,0.08737528034076734,False
1700112D23Rik,6.166,3.86,1.597,0.04408270855615712,False
2310061I04Rik,95.568,72.335,1.321,0.002691282834948115,False
2510009E07Rik,90.669,78.842,1.15,0.42503065278493135,False
4833439L19Rik,110.111,111.573,0.987,0.568811400413345,False
9330159M07Rik,5.331,5.959,0.895,0.568811400413345,False
9530059O14Rik,83.2,128.729,0.646,0.7903100546926771,False
A430103D13Rik,4.452,5.523,0.806,0.18366985885429593,False
A830018L16Rik,64.806,26.104,2.483,0.03668277440246512,False
Abca3,93.829,106.382,0.882,0.27062738558725485,False
Abcc1,19.935,21.882,0.911,0.732439899903881,False
Abhd11os,24.719,16.546,1.494,0.9696981596092581,False
Abhd2,88.509,180.849,0.489,0.00438548939209379,False
Abhd5,11.143,18.357,0.607,0.000950249659226583,False
Acot13,85.281,92.008,0.927,0.732439899903881,False
Adamts2,4.762,10.363,0.46,0.1598685556691316,False
Adamtsl3,3.734,23.678,0.158,0.0016165203483961817,False
Adat2,6.738,5.099,1.322,0.010924033386052627,False
Adgrb3,47.782,20.596,2.32,0.03668277440246512,False
Agfg1,91.531,138.168,0.662,0.0005466219592185199,False
Agrp,8.417,22.885,0.368,0.10237755581065143,False
Ahcyl2,82.66,67.207,1.23,0.23895905206052603,False
Akap7,140.839,49.723,2.832,0.07419931719571338,False
Als2,5.144,6.565,0.784,0.3822828750399312,False
Anapc10,18.492,17.268,1.071,0.42503065278493135,False
Antxr2,8.212,42.989,0.191,0.04408270855615712,False
Anxa11,17.816,19.638,0.907,0.5184240444618633,False
Ap3s2,87.869,77.394,1.135,0.6214268342178658,False
Apbb2,81.571,100.61,0.811,0.11936102290912955,False
Apc2,106.14,100.832,1.053,0.6760528085643427,False
Apoc1,12.129,6.088,1.992,0.006995319905603779,False
Arhgef10,7.926,7.498,1.057,0.4704479999364616,False
Armh4,95.504,112.79,0.847,0.23895905206052603,False
Arxes1,22.728,18.275,1.244,0.23895905206052603,False
Asic3,25.695,13.275,1.936,0.008764828179775055,False
Astn1,100.062,63.762,1.569,0.013543601483181497,False
Atf2,99.527,87.616,1.136,0.38228287503993563,False
Atp1b2,35.822,21.964,1.631,0.020492927306024925,False
Atp5mc2,288.55,266.496,1.083,0.6214268342178658,False
Atp6v0e,87.78,86.873,1.01,0.8493606187801671,False
Atp8a2,201.408,89.782,2.243,0.01670340384716159,False
Atpaf2,33.663,221.286,0.152,0.0003076740455083403,False
Avil,164.684,198.57,0.829,0.5184240444618633,False
B3galt1,43.329,7.913,5.475,0.0034446936330652608,False
BC005624,68.003,63.968,1.063,0.6214268342178658,False
BC034090,11.448,7.315,1.565,0.06269390820871207,False
Bach1,18.391,17.025,1.08,0.02501152559403936,False
Banp,19.163,21.798,0.879,0.9696981596092581,False
Bcan,28.227,21.075,1.339,0.34227921045774523,False
Bdh2,2.832,6.487,0.437,0.0527050417902269,False
Bdnf,76.866,98.028,0.784,0.10237755581065143,False
Bean1,81.642,161.426,0.506,0.00022894942526757402,False
Bivm,16.055,13.779,1.165,0.27062738558725485,False
Blmh,65.385,66.463,0.984,0.568811400413345,False
Bltp2,91.935,97.636,0.942,0.5184240444618633,False
Bltp3b,42.534,94.983,0.448,0.00041121782685697906,False
Bpnt1,93.049,79.893,1.165,0.07419931719571338,False
Btbd3,107.376,75.074,1.43,0.30505885926167353,False
C1qtnf1,17.699,12.641,1.4,0.20999967175560622,False
C630043F03Rik,5.701,5.352,1.065,0.20999967175560622,False
Cacfd1,87.355,77.379,1.129,0.10237755581065143,False
Cacng5,62.827,4.911,12.793,0.00041121782685697906,False
Cadps2,22.318,11.956,1.867,0.568811400413345,False
Calml4,9.778,20.29,0.482,0.07419931719571338,False
Capn15,21.031,18.381,1.144,0.20999967175560622,False
Card19,230.871,143.929,1.604,0.008764828179775055,False
Cavin2,7.35,63.852,0.115,0.0007226712449063665,False
Cbfa2t2,20.289,15.501,1.309,0.052705041790226705,False
Cc2d1a,17.933,16.883,1.062,0.13847671503211265,False
Ccdc107,65.514,81.575,0.803,0.18366985885429593,False
Ccdc28a,100.825,83.987,1.2,0.23895905206052603,False
Ccdc90b,13.429,12.263,1.095,0.7903100546926771,False
Ccl2,4.584,8.785,0.522,0.23895905206052603,False
Ccm2,66.398,64.925,1.023,0.732439899903881,False
Ccn3,4.16,8.098,0.514,0.13847671503211265,False
Cd164,265.569,112.364,2.363,0.0012427472668632257,False
Cdc42ep3,23.5,10.693,2.198,0.0012427472668632257,False
Cdc73,71.658,64.39,1.113,0.27062738558725485,False
Cdh11,44.366,16.612,2.671,0.0034446936330652608,False
Cdh22,32.791,13.079,2.507,0.1598685556691316,False
Cdk2ap2,88.736,72.944,1.216,0.03036847223425402,False
Cdk5,120.36,87.31,1.379,0.008764828179775055,False
Cebpd,36.758,27.459,1.339,0.03668277440246512,False
Cenpm,3.753,5.446,0.689,0.06269390820871207,False
Cep20,91.467,99.808,0.916,0.18366985885429593,False
Cep83,23.511,17.945,1.31,0.04408270855615712,False
Cert1,85.996,80.215,1.072,0.42503065278493135,False
Chd9,77.259,72.571,1.065,0.42503065278493135,False
Chrna4,26.006,1.704,15.258,0.04016363995872228,False
Chrnb3,1.356,41.165,0.033,0.0016165203483961817,False
Chrnb4,30.168,115.972,0.26,0.03668277440246512,False
Chst11,22.357,13.878,1.611,0.052705041790226705,False
Ciao1,24.721,19.395,1.275,0.010924033386052627,False
Ciapin1,95.351,90.396,1.055,0.9696981596092581,False
Clic5,4.807,6.849,0.702,0.38228287503993563,False
Cmtm5,39.574,21.237,1.863,0.0005466219592185199,False
