dataset,tissue,assay,prep,gene,unit,mean_level,pct_detected,n_cells,in_matrix
NodoMap:whole-cell,nodose,10x droplet sc/snRNA-seq,whole cell,Oprl1,CPM,11.9028,9.13,26047,True
NodoMap:whole-cell,nodose,10x droplet sc/snRNA-seq,whole cell,Oprm1,CPM,9.8637,8.35,26047,True
NodoMap:whole-cell,nodose,10x droplet sc/snRNA-seq,whole cell,Oprd1,CPM,0.1297,0.15,26047,True
NodoMap:whole-cell,nodose,10x droplet sc/snRNA-seq,whole cell,Oprk1,CPM,4.6266,3.84,26047,True
NodoMap:whole-cell,nodose,10x droplet sc/snRNA-seq,whole cell,Pnoc,CPM,0.7046,0.47,26047,True
NodoMap:whole-cell,nodose,10x droplet sc/snRNA-seq,whole cell,Penk,CPM,2.4184,0.96,26047,True
NodoMap:whole-cell,nodose,10x droplet sc/snRNA-seq,whole cell,Pdyn,CPM,2.1781,1.3,26047,True
NodoMap:whole-cell,nodose,10x droplet sc/snRNA-seq,whole cell,Pomc,CPM,12.3531,11.59,26047,True
NodoMap:whole-cell,jugular,10x droplet sc/snRNA-seq,whole cell,Oprl1,CPM,9.6247,7.21,4593,True
NodoMap:whole-cell,jugular,10x droplet sc/snRNA-seq,whole cell,Oprm1,CPM,8.3326,5.88,4593,True
NodoMap:whole-cell,jugular,10x droplet sc/snRNA-seq,whole cell,Oprd1,CPM,0.9239,1.09,4593,True
NodoMap:whole-cell,jugular,10x droplet sc/snRNA-seq,whole cell,Oprk1,CPM,0.8982,0.78,4593,True
NodoMap:whole-cell,jugular,10x droplet sc/snRNA-seq,whole cell,Pnoc,CPM,3.5326,0.61,4593,True
NodoMap:whole-cell,jugular,10x droplet sc/snRNA-seq,whole cell,Penk,CPM,1.1999,0.5,4593,True
NodoMap:whole-cell,jugular,10x droplet sc/snRNA-seq,whole cell,Pdyn,CPM,0.1704,0.17,4593,True
NodoMap:whole-cell,jugular,10x droplet sc/snRNA-seq,whole cell,Pomc,CPM,7.9743,7.45,4593,True
