gene,spearman_rho,p_value,q_value,mean_CPM_across_clusters
C030006K11Rik,0.926,1.7791038368919137e-09,0.0,17.43
Sema4g,0.9039,1.9447237283174544e-08,0.0002,8.37
Chgb,0.8961,3.953025506130655e-08,0.0002,48.3
Ptn,0.8883,7.615212819509331e-08,0.0002,309.14
Unc5a,0.8818,1.2689598743183006e-07,0.0003,10.17
Rph3a,0.8805,1.4004148957869315e-07,0.0003,66.56
Adgrg6,0.8779,1.6998808371427407e-07,0.0003,12.13
Col1a2,0.8766,1.8697860892632527e-07,0.0003,13.45
Osbpl1a,0.8727,2.4728569895092027e-07,0.0004,70.73
Brinp1,0.8714,2.7089078155074727e-07,0.0004,41.04
Cacng5,0.8649,4.213082570211996e-07,0.0005,30.53
Dzank1,0.8636,4.589679209160128e-07,0.0005,56.85
Eya4,0.8623,4.995617073702482e-07,0.0005,19.94
Atp1b1,0.8597,5.903424517646308e-07,0.0005,1466.19
Hmgcs2,0.8597,5.903424517646308e-07,0.0005,17.3
Pla2g4e,0.8597,5.903424517646308e-07,0.0005,2.09
Mcam,0.8558,7.537531330491885e-07,0.0006,194.14
Angptl4,0.8545,8.164386807008872e-07,0.0006,4.9
Atp2b2,0.8545,8.164386807008872e-07,0.0006,70.37
Ccdc85c,0.8532,8.836652423290684e-07,0.0007,2.63
Mapk4,0.8519,9.557130744669045e-07,0.0007,6.14
Fam13a,0.8506,1.032876694353382e-06,0.0007,13.29
Ryr2,0.8506,1.032876694353382e-06,0.0007,39.96
Ank,0.8494,1.115465446639928e-06,0.0007,46.34
Lsamp,0.8429,1.6217259154397358e-06,0.0009,74.85
Myadml2,0.8429,1.6217259154397358e-06,0.0009,3.7
Adcy1,0.8416,1.7442674554743903e-06,0.0009,14.24
Entrep1,0.8403,1.8748656738230898e-06,0.0009,30.89
Cd164,0.8403,1.8748656738230898e-06,0.0009,179.11
Hacd3,0.839,2.013970871019303e-06,0.0009,94.22
Ucp2,0.839,2.013970871019303e-06,0.0009,17.88
Gpm6b,0.839,2.013970871019303e-06,0.0009,128.99
Phyhip,0.8351,2.4871456891979684e-06,0.0011,5.31
Ttc3,0.8351,2.4871456891979684e-06,0.0011,468.24
Creg1,0.8338,2.6652061559546297e-06,0.0011,22.0
Qki,0.8338,2.6652061559546297e-06,0.0011,78.59
Ccne1,0.8325,2.8543499718687335e-06,0.0012,17.72
Ociad1,0.8312,3.0551627702847316e-06,0.0012,165.13
Tmem117,0.8299,3.268255517738792e-06,0.0012,34.38
Vsnl1,0.8286,3.494265356687363e-06,0.0012,42.47
Gm46430,0.8286,3.494265356687363e-06,0.0012,5.89
Cdk5r1,0.826,3.987720946468143e-06,0.0013,98.01
Sod3,0.8247,4.256579710186723e-06,0.0014,6.14
Sox2,0.8247,4.256579710186723e-06,0.0014,14.72
Ppp5c,0.8234,4.541183409442103e-06,0.0014,60.79
Mest,0.8221,4.8423133697574794e-06,0.0015,48.69
Asb13,0.8208,5.16078254852357e-06,0.0015,19.31
Fto,0.8208,5.16078254852357e-06,0.0015,80.36
Thrsp,0.8208,5.16078254852357e-06,0.0015,11.8
Slc4a4,0.8195,5.4974365122467775e-06,0.0015,50.59
Zfp422,0.8195,5.4974365122467775e-06,0.0015,25.22
Bmp2,0.8182,5.85315443355282e-06,0.0015,4.86
Chic1,0.8182,5.85315443355282e-06,0.0015,14.98
Cacng7,0.8169,6.228850108065046e-06,0.0016,44.83
Calcoco1,0.8143,7.044009255480809e-06,0.0016,25.06
Gm37895,0.8143,7.044009255480809e-06,0.0016,0.69
Fndc10,0.8143,7.044009255480809e-06,0.0016,38.49
Mamdc2,0.8143,7.044009255480809e-06,0.0016,1.78
Rnf130,0.813,7.485482866993879e-06,0.0017,60.53
Tspan3,0.8104,8.4415335721491e-06,0.0017,222.3
Prickle1,0.8104,8.4415335721491e-06,0.0017,12.3
Fam185a,0.8104,8.4415335721491e-06,0.0017,9.95
Gm54728,0.8104,8.4415335721491e-06,0.0017,13.54
Acsl6,0.8104,8.4415335721491e-06,0.0017,39.85
Tacc2,0.8091,8.958357547402355e-06,0.0017,68.23
Paqr6,0.8091,8.958357547402355e-06,0.0017,18.66
Cdkal1,0.8091,8.958357547402355e-06,0.0017,10.96
Rassf3,0.8091,8.958357547402355e-06,0.0017,20.28
Ccn1,0.8091,8.958357547402355e-06,0.0017,46.33
Lgi2,0.8091,8.958357547402355e-06,0.0017,25.18
Irs1,0.8078,9.502614930342713e-06,0.0018,4.69
Acat1,0.8065,1.0075535527922034e-05,0.0019,54.9
Ints8,0.8065,1.0075535527922034e-05,0.0019,8.7
Bace2,0.8065,1.0075535527922034e-05,0.0019,10.6
Pde4b,0.8026,1.1979252315368267e-05,0.002,29.53
Gm44228,0.8026,1.1979252315368267e-05,0.002,2.12
Ssx2ip,0.8026,1.1979252315368267e-05,0.002,41.74
Ppm1e,0.8013,1.268003600094695e-05,0.0021,24.83
Dnaaf8,0.8013,1.268003600094695e-05,0.0021,4.59
Pnma8b,0.8013,1.268003600094695e-05,0.0021,45.9
Adarb1,0.8,1.341632695742205e-05,0.0022,19.7
Ergic1,0.7987,1.4189641838423617e-05,0.0022,68.32
Jam3,0.7987,1.4189641838423617e-05,0.0022,23.1
Bbs1,0.7974,1.5001549621912613e-05,0.0022,13.62
Kansl1l,0.7974,1.5001549621912613e-05,0.0022,13.23
Sms,0.7974,1.5001549621912613e-05,0.0022,178.78
Smarca2,0.7974,1.5001549621912613e-05,0.0022,138.14
Brinp2,0.7961,1.5853672956450275e-05,0.0023,14.0
Sarm1,0.7948,1.67476895284478e-05,0.0023,24.61
P4ha2,0.7948,1.67476895284478e-05,0.0023,17.86
Plp1,0.7948,1.67476895284478e-05,0.0023,185.63
Bcl9l,0.7948,1.67476895284478e-05,0.0023,15.95
Ccnd1,0.7948,1.67476895284478e-05,0.0023,19.06
Zdbf2,0.7935,1.7685333450402663e-05,0.0024,12.1
Cspg5,0.7922,1.8668396670120465e-05,0.0025,7.67
Nap1l3,0.7922,1.8668396670120465e-05,0.0025,65.85
Gm13446,0.7909,1.9698730400916632e-05,0.0026,7.39
Kif3a,0.7896,2.0778246572780968e-05,0.0026,81.55
Chga,0.7896,2.0778246572780968e-05,0.0026,83.27
Trim32,0.7896,2.0778246572780968e-05,0.0026,56.42
Nfasc,0.7896,2.0778246572780968e-05,0.0026,117.81
Shisa4,0.7896,2.0778246572780968e-05,0.0026,154.85
Smoc1,0.7896,2.0778246572780968e-05,0.0026,14.2
Ppargc1a,0.7883,2.1908919304485988e-05,0.0026,18.84
Fbln5,0.787,2.3092786396607597e-05,0.0027,40.4
Cep152,0.787,2.3092786396607597e-05,0.0027,2.83
Alg2,0.787,2.3092786396607597e-05,0.0027,131.25
B3galt1,0.787,2.3092786396607597e-05,0.0027,26.17
Abcb7,0.7857,2.433195084542448e-05,0.0027,39.09
D430041D05Rik,0.7857,2.433195084542448e-05,0.0027,31.98
Spock3,0.7857,2.433195084542448e-05,0.0027,310.47
Sgk1,0.7857,2.433195084542448e-05,0.0027,64.78
Galnt16,0.7857,2.433195084542448e-05,0.0027,7.59
Tbcel,0.7857,2.433195084542448e-05,0.0027,42.04
Serpini1,0.7857,2.433195084542448e-05,0.0027,324.61
Cntn1,0.7844,2.5628582377650183e-05,0.0027,315.15
Amph,0.7844,2.5628582377650183e-05,0.0027,104.48
Atp1a3,0.7844,2.5628582377650183e-05,0.0027,114.59
Srgap3,0.7831,2.698491900595073e-05,0.0028,114.14
Selenop,0.7831,2.698491900595073e-05,0.0028,93.91
Tmem59l,0.7831,2.698491900595073e-05,0.0028,125.41
Nuak1,0.7818,2.840326860518539e-05,0.0029,55.67
Nova1,0.7805,2.9886010509309136e-05,0.003,2.94
Rnf145,0.7805,2.9886010509309136e-05,0.003,69.79
Mfsd2a,0.7792,3.143559712886148e-05,0.0031,5.26
St8sia1,0.7779,3.3054555588962565e-05,0.0031,53.06
Dhrs3,0.7779,3.3054555588962565e-05,0.0031,2.02
Sik3,0.7779,3.3054555588962565e-05,0.0031,20.42
Gorasp2,0.7779,3.3054555588962565e-05,0.0031,74.29
Nphp4,0.7766,3.474548938772688e-05,0.0032,5.36
Esrrg,0.7766,3.474548938772688e-05,0.0032,11.61
Adgrb3,0.7766,3.474548938772688e-05,0.0032,32.1
Prpf19,0.7753,3.6511080075003116e-05,0.0033,64.92
Eef1a2,0.7753,3.6511080075003116e-05,0.0033,623.66
Nefm,0.7753,3.6511080075003116e-05,0.0033,653.54
Map3k12,0.7753,3.6511080075003116e-05,0.0033,59.73
Shank1,0.7753,3.6511080075003116e-05,0.0033,24.96
Cd2ap,0.774,3.835408895133126e-05,0.0034,61.28
Cbx4,0.774,3.835408895133126e-05,0.0034,27.14
Coq8a,0.774,3.835408895133126e-05,0.0034,14.3
Pcx,0.7727,4.027735878701309e-05,0.0035,14.21
Jag2,0.7714,4.228381556117166e-05,0.0036,81.19
Iffo1,0.7714,4.228381556117166e-05,0.0036,41.71
Gm14004,0.7714,4.228381556117166e-05,0.0036,4.93
Tns3,0.7714,4.228381556117166e-05,0.0036,17.0
2810039B14Rik,0.7714,4.228381556117166e-05,0.0036,1.19
Rgs7,0.7714,4.228381556117166e-05,0.0036,75.39
Wnt6,0.7701,4.437647022067945e-05,0.0037,6.58
Ddc,0.7701,4.437647022067945e-05,0.0037,88.76
Stk38l,0.7701,4.437647022067945e-05,0.0037,39.05
Tmub1,0.7701,4.437647022067945e-05,0.0037,29.17
