tissue,dataset,gene,level,rank,determinate,fraction_of_top
nodose,NodoMap:whole-cell,Oprl1,11.90281641667734,1,True,1.0
nodose,NodoMap:whole-cell,Oprm1,9.86366961132553,2,True,0.8286836716649087
nodose,NodoMap:whole-cell,Oprk1,4.626643042649214,3,True,0.3887015375761578
nodose,NodoMap:whole-cell,Oprd1,0.12974021319651305,4,True,0.010899959190728233
jugular,NodoMap:whole-cell,Oprl1,9.624655313518156,1,True,1.0
jugular,NodoMap:whole-cell,Oprm1,8.332573665300185,2,True,0.8657529432349438
jugular,NodoMap:whole-cell,Oprd1,0.9239181022481819,3,True,0.09599492887298598
jugular,NodoMap:whole-cell,Oprk1,0.8982299375901854,4,True,0.093325933067815
nodose,NodoMap,Oprm1,14.62888783933146,1,True,1.0
nodose,NodoMap,Oprl1,11.748573666627712,2,True,0.8031077820584768
nodose,NodoMap,Oprk1,4.6608337126261565,3,True,0.318604788266608
nodose,NodoMap,Oprd1,0.18883927363640657,4,True,0.012908655511643906
jugular,NodoMap,Oprm1,19.330781014656026,1,True,1.0
jugular,NodoMap,Oprl1,9.53589552850204,2,True,0.49330109948854145
jugular,NodoMap,Oprd1,1.3854820216582588,3,True,0.07167232511753288
jugular,NodoMap,Oprk1,0.9094142279968905,4,True,0.0470448776646634
nodose+jugular,NodoMap,Oprm1,15.355169762385094,1,True,1.0
nodose+jugular,NodoMap,Oprl1,11.406790458601984,2,True,0.7428631942933457
nodose+jugular,NodoMap,Oprk1,4.081367515525804,3,True,0.2657976159614826
nodose+jugular,NodoMap,Oprd1,0.3736797121224441,4,True,0.02433575908993409
nodose+jugular,NodoMap:Bai,Oprl1,11.837543351336146,1,True,1.0
nodose+jugular,NodoMap:Bai,Oprm1,9.32967280075825,2,True,0.788142651211932
nodose+jugular,NodoMap:Bai,Oprk1,3.4752121493157597,3,True,0.2935754527921961
nodose+jugular,NodoMap:Bai,Oprd1,0.26161827644218927,4,True,0.02210072383073127
nodose+jugular,NodoMap:Buchanan,Oprl1,9.593246228188244,1,True,1.0
nodose+jugular,NodoMap:Buchanan,Oprm1,9.42573128383247,2,True,0.9825382419703188
nodose+jugular,NodoMap:Buchanan,Oprk1,3.7964746282973683,3,True,0.39574452046712044
nodose+jugular,NodoMap:Buchanan,Oprd1,0.2057836343854803,4,True,0.021450886330929095
nodose+jugular,NodoMap:Kupari,Oprl1,11.093921813917712,1,True,1.0
nodose+jugular,NodoMap:Kupari,Oprk1,8.364369124195349,2,True,0.7539596244226235
nodose+jugular,NodoMap:Kupari,Oprm1,4.805644451885451,3,True,0.4331781431753559
nodose+jugular,NodoMap:Kupari,Oprd1,0.1453481812158942,4,True,0.013101604973774906
nodose+jugular,NodoMap:Zhao,Oprl1,11.982650575069727,1,True,1.0
nodose+jugular,NodoMap:Zhao,Oprm1,10.107530650666245,2,True,0.8435137607780431
nodose+jugular,NodoMap:Zhao,Oprk1,3.776453196734167,3,True,0.3151600869169292
nodose+jugular,NodoMap:Zhao,Oprd1,0.2657641253873867,4,True,0.02217907663437313
nodose+jugular,NodoMap:inhouse,Oprm1,244.49489304154918,1,True,1.0
nodose+jugular,NodoMap:inhouse,Oprd1,5.375832918235138,2,True,0.021987505961204575
nodose+jugular,NodoMap:inhouse,Oprl1,5.217716721845791,3,True,0.021340800443464064
nodose+jugular,NodoMap:inhouse,Oprk1,4.626935150133352,4,True,0.018924465425734092
