gene,spearman_rho,p_value,q_value,mean_CPM_across_clusters,neuron_CPM,glia_CPM,log2_neuron_over_glia,glial_biased
C030006K11Rik,0.926,1.7791038368919134e-09,0.0,17.43,15.236,10.836,0.491,False
Sema4g,0.9039,1.9447237283174544e-08,0.0002,8.37,6.059,7.924,-0.387,True
Chgb,0.8961,3.953025506130655e-08,0.0002,48.3,33.148,8.378,1.983,False
Ptn,0.8883,7.615212819509332e-08,0.0002,309.14,221.413,1403.824,-2.664,True
Unc5a,0.8818,1.2689598743183008e-07,0.0003,10.17,6.983,3.578,0.963,False
Rph3a,0.8805,1.4004148957869318e-07,0.0003,66.56,43.965,17.149,1.358,False
Adgrg6,0.8779,1.699880837142741e-07,0.0003,12.13,11.539,90.817,-2.975,True
Col1a2,0.8766,1.869786089263253e-07,0.0003,13.45,12.229,270.15,-4.464,True
Osbpl1a,0.8727,2.472856989509203e-07,0.0004,70.73,53.315,102.945,-0.949,True
Brinp1,0.8714,2.708907815507473e-07,0.0004,41.04,30.849,4.46,2.787,False
Cacng5,0.8649,4.213082570211996e-07,0.0005,30.53,19.61,1.879,3.377,False
Dzank1,0.8636,4.589679209160128e-07,0.0005,56.85,52.897,11.824,2.161,False
Eya4,0.8623,4.995617073702482e-07,0.0005,19.94,14.099,2.879,2.288,False
Atp1b1,0.8597,5.903424517646308e-07,0.0005,1466.19,1222.69,178.576,2.775,False
Hmgcs2,0.8597,5.903424517646308e-07,0.0005,17.3,15.938,191.037,-3.582,True
Pla2g4e,0.8597,5.903424517646308e-07,0.0005,2.09,1.733,0.13,3.638,False
Mcam,0.8558,7.537531330491885e-07,0.0006,194.14,154.52,80.134,0.947,False
Angptl4,0.8545,8.164386807008872e-07,0.0006,4.9,4.679,49.29,-3.394,True
Atp2b2,0.8545,8.164386807008872e-07,0.0006,70.37,46.844,7.718,2.6,False
Ccdc85c,0.8532,8.836652423290684e-07,0.0007,2.63,2.139,3.065,-0.517,True
Mapk4,0.8519,9.557130744669045e-07,0.0007,6.14,6.038,14.828,-1.295,True
Fam13a,0.8506,1.032876694353382e-06,0.0007,13.29,11.672,10.884,0.101,False
Ryr2,0.8506,1.032876694353382e-06,0.0007,39.96,27.004,3.411,2.981,False
Ank,0.8494,1.115465446639928e-06,0.0007,46.34,40.935,66.469,-0.699,True
Lsamp,0.8429,1.6217259154397358e-06,0.0009,74.85,50.749,69.393,-0.451,True
Myadml2,0.8429,1.6217259154397358e-06,0.0009,3.7,2.698,0.604,2.141,False
Adcy1,0.8416,1.7442674554743903e-06,0.0009,14.24,9.288,7.678,0.274,False
Entrep1,0.8403,1.8748656738230896e-06,0.0009,30.89,24.576,14.014,0.81,False
Cd164,0.8403,1.8748656738230896e-06,0.0009,179.11,151.114,84.445,0.839,False
Hacd3,0.839,2.013970871019303e-06,0.0009,94.22,89.565,46.315,0.951,False
Ucp2,0.839,2.013970871019303e-06,0.0009,17.88,16.631,295.324,-4.15,True
Gpm6b,0.839,2.013970871019303e-06,0.0009,128.99,123.239,1248.215,-3.34,True
Phyhip,0.8351,2.4871456891979684e-06,0.0011,5.31,3.84,0.401,3.228,False
Ttc3,0.8351,2.4871456891979684e-06,0.0011,468.24,423.198,150.724,1.489,False
Creg1,0.8338,2.6652061559546297e-06,0.0011,22.0,19.352,44.937,-1.215,True
Qki,0.8338,2.6652061559546297e-06,0.0011,78.59,74.591,768.545,-3.365,True
Ccne1,0.8325,2.854349971868733e-06,0.0012,17.72,16.273,6.669,1.286,False
Ociad1,0.8312,3.055162770284732e-06,0.0012,165.13,151.292,129.003,0.23,False
Tmem117,0.8299,3.268255517738792e-06,0.0012,34.38,28.358,11.396,1.314,False
Vsnl1,0.8286,3.494265356687363e-06,0.0012,42.47,34.718,25.913,0.422,False
Gm46430,0.8286,3.494265356687363e-06,0.0012,5.89,5.681,6.397,-0.171,True
Cdk5r1,0.826,3.987720946468143e-06,0.0013,98.01,89.59,12.719,2.815,False
Sod3,0.8247,4.256579710186723e-06,0.0014,6.14,5.26,60.683,-3.526,True
Sox2,0.8247,4.256579710186723e-06,0.0014,14.72,13.962,195.534,-3.807,True
Ppp5c,0.8234,4.541183409442103e-06,0.0014,60.79,58.126,50.822,0.194,False
Mest,0.8221,4.84231336975748e-06,0.0015,48.69,42.636,59.542,-0.482,True
Asb13,0.8208,5.16078254852357e-06,0.0015,19.31,15.96,13.558,0.235,False
Fto,0.8208,5.16078254852357e-06,0.0015,80.36,74.437,43.889,0.762,False
Thrsp,0.8208,5.16078254852357e-06,0.0015,11.8,8.209,4.783,0.778,False
Slc4a4,0.8195,5.4974365122467775e-06,0.0015,50.59,40.772,123.145,-1.594,True
