subtype,n,Pnoc_CPM,Pnoc_pct,Oprl1_CPM,Oprl1_pct,Slc17a6_CPM,Gad1_CPM
Glu15,98,40.01,7.14,14.07,4.08,141.86,16.93
GABA6,978,22.26,3.27,10.9,1.84,13.83,46.48
GABA2,4167,20.41,2.98,14.95,2.23,12.85,106.58
Glu13,354,13.65,1.41,22.64,3.39,103.97,7.45
GABA4,2359,11.74,1.78,13.13,1.7,13.77,93.17
GABA1,7027,9.54,1.72,18.42,3.09,55.09,56.48
Glu9,1155,9.05,1.82,27.8,4.59,135.1,12.43
Glu8,1213,6.97,0.82,19.47,2.39,171.76,8.33
GABA7,246,5.65,0.81,20.12,2.03,15.81,121.96
Glu4,2137,5.27,0.75,15.8,2.39,145.31,13.87
Glu5,2019,4.51,0.64,14.55,2.77,277.52,11.58
GABA3,3856,3.93,1.32,14.97,4.67,43.63,27.04
GABA5,2319,3.33,0.39,7.7,1.25,13.18,91.81
Glu10,968,3.07,0.52,14.31,2.07,199.58,11.31
Glu1,3520,2.88,0.57,19.74,3.55,143.52,10.58
Glu11,447,2.34,1.12,10.71,2.91,95.04,10.55
Glu2,3009,1.95,0.37,19.7,4.02,145.54,10.93
Glu3,2522,1.83,0.36,17.12,3.21,145.98,10.29
Glu7,1302,1.78,0.46,21.94,5.07,174.26,9.95
Glu6,1594,1.69,0.38,19.5,3.45,147.29,8.95
Chat1,2962,1.55,0.51,10.99,4.59,6.85,7.19
Glu14,282,1.36,0.35,11.49,3.55,125.6,12.07
Glu12,378,1.25,0.53,12.19,4.23,71.19,4.82
Chat2,2523,1.11,0.55,8.36,4.88,10.36,4.83
Chat3,1957,1.06,0.41,13.21,6.49,7.84,4.66
