,median_log2fc,ci_lo,ci_hi,top30_support,n_datasets,n_positive,n_deposits,neuron_over_glia_log2
Oprl1,8.656,8.436,9.466,1.0,13,13,8,2.057
Tmem255a,0.509,0.147,0.61,0.8322,11,10,6,0.638
Epha10,0.442,0.19,0.598,0.6039,10,10,6,1.745
Islr2,0.405,0.095,0.511,0.3737,11,10,6,1.4
Adra2a,0.401,-0.017,0.509,0.4524,10,7,5,0.236
Mdga1,0.4,0.095,0.653,0.4527,13,12,8,1.275
Slc7a3,0.398,0.031,0.613,0.4767,10,9,5,1.41
Efcab1,0.381,-0.018,0.506,0.2974,11,7,6,1.685
Grm7,0.379,0.095,0.534,0.4205,13,12,8,1.841
Ank1,0.379,0.177,0.476,0.434,10,9,7,0.958
Tnr,0.375,-0.05,0.443,0.3902,10,7,6,1.445
Slc19a2,0.372,0.326,0.435,0.4524,10,8,6,0.06
Bche,0.362,0.006,0.662,0.4323,11,9,6,-1.074
Sez6l,0.356,0.216,0.797,0.4744,12,10,7,1.586
Caln1,0.35,-0.005,0.723,0.2466,10,7,5,2.839
Galnt16,0.348,0.168,0.447,0.2567,10,10,6,-1.041
Ntng1,0.347,-0.052,0.565,0.2401,13,9,8,0.391
Kirrel3,0.343,-0.095,0.651,0.3392,10,7,6,1.433
Gria1,0.335,0.015,0.528,0.3213,11,9,6,1.675
Vwa7,0.335,0.154,0.522,0.3122,10,8,7,1.421
Lrp1b,0.334,0.09,0.767,0.3529,11,10,6,1.462
Ankrd34b,0.331,0.008,0.599,0.2964,10,8,5,2.298
Brinp2,0.331,0.173,0.973,0.1959,10,9,6,1.666
Trim16,0.328,0.006,0.439,0.1968,11,9,7,0.419
Tmem132e,0.319,0.027,0.575,0.2768,11,9,7,1.231
Tenm1,0.318,0.017,0.791,0.2418,10,8,6,1.154
Nfatc2,0.317,0.096,1.089,0.3125,10,8,6,-2.759
Slc12a7,0.317,-0.205,0.374,0.0929,12,9,8,-0.317
Asah2,0.312,-0.265,0.681,0.1649,10,7,6,-0.787
Tmem63c,0.305,0.187,0.438,0.1806,13,11,8,1.552
Abca3,0.303,0.095,0.367,0.03,13,10,8,0.614
Eif5a2,0.298,-0.0,0.508,0.1103,13,9,8,1.103
Pcdh7,0.297,0.197,0.505,0.1159,13,12,8,-0.149
Abcg1,0.295,0.195,0.378,0.0997,12,11,8,0.236
Taf1c,0.292,0.138,0.327,0.0024,11,10,6,-0.15
Mgat4c,0.291,-0.015,0.38,0.0262,12,9,8,1.88
Lrrtm4,0.291,-0.057,0.452,0.0986,12,9,7,0.366
Galnt10,0.289,0.072,0.457,0.236,10,8,5,-1.903
Tyk2,0.287,0.055,0.46,0.0827,10,8,6,-0.423
Cds1,0.284,0.17,0.504,0.1503,12,12,8,1.617
Dclre1c,0.282,0.006,0.543,0.171,10,8,7,-0.793
Etv1,0.28,-0.151,0.367,0.0525,13,7,8,0.064
Tmc3,0.28,0.117,0.628,0.0598,12,9,7,1.781
Slitrk3,0.279,0.089,0.646,0.2853,11,9,6,1.345
Plxna1,0.277,0.036,0.418,0.1904,12,11,8,-0.379
Tenm2,0.277,0.077,0.504,0.0907,11,9,7,0.701
Gaa,0.276,0.131,0.301,0.0001,13,12,8,0.673
Sez6,0.274,0.123,0.342,0.0194,13,13,8,1.742
Cacna1e,0.273,0.111,0.435,0.1301,10,9,5,1.315
Faim2,0.272,0.173,0.392,0.0243,13,13,8,2.233
Tmem117,0.272,0.103,0.395,0.0785,13,12,8,1.099
Gdpd5,0.271,0.178,0.289,0.0018,13,11,8,0.089
Dkk3,0.268,0.061,0.36,0.0,12,11,7,0.438
Kifc3,0.266,0.07,0.525,0.0553,11,9,6,-0.456
Ldlrad4,0.265,0.13,0.73,0.2618,12,12,7,-0.772
Vps18,0.264,0.021,0.395,0.0215,13,11,8,0.307
Slc36a1,0.264,0.14,0.437,0.0148,13,11,8,1.667
Diaph2,0.264,0.094,0.403,0.0095,11,10,6,-0.681
Epb41l4a,0.263,0.104,0.311,0.0,11,10,6,0.699
Dagla,0.263,-0.106,0.417,0.0087,11,8,6,-0.834
Lmln,0.262,-0.432,0.396,0.0125,12,8,8,0.127
Kcnt1,0.261,0.033,0.4,0.042,13,11,8,1.108
Jmjd4,0.26,0.057,0.92,0.0774,11,11,7,0.764
Sulf2,0.26,0.164,0.542,0.2076,13,11,8,-1.919
Lrrc55,0.259,-0.108,0.497,0.2723,12,9,8,0.982
Fndc3b,0.259,-0.045,0.418,0.0347,12,9,7,-1.637
Eme2,0.258,0.002,0.466,0.1921,10,8,6,0.207
Slc38a10,0.258,0.05,0.266,0.0,13,11,8,-0.004
Lingo2,0.258,0.124,0.424,0.0167,13,13,8,1.639
Paqr9,0.256,-0.046,0.473,0.0366,12,9,8,1.958
Maneal,0.255,-0.007,0.35,0.0115,12,9,8,1.08
Sptbn4,0.254,0.079,0.306,0.003,11,9,7,1.491
Flrt1,0.254,-0.067,0.48,0.1631,12,9,7,0.757
Pcdhb19,0.253,-0.209,0.368,0.1127,10,7,6,0.053
Robo1,0.252,-0.165,0.415,0.081,12,7,8,0.467
Zfp335,0.252,-0.046,0.414,0.0682,12,9,8,-0.08
Shank2,0.252,0.025,0.49,0.0417,11,10,6,0.876
Acvr1b,0.252,0.039,0.333,0.0,12,10,7,1.086
Ulk3,0.25,0.042,0.533,0.2276,13,11,8,0.127
Dync1i1,0.249,0.112,0.337,0.0117,13,11,8,1.972
Sipa1l2,0.247,0.001,0.369,0.0653,12,9,7,-1.058
Cadm3,0.247,0.132,0.293,0.0,13,12,8,1.37
Tmem135,0.247,0.163,0.462,0.0143,13,13,8,0.4
Fam189a2,0.247,0.152,0.399,0.0048,12,12,8,0.827
Usp45,0.246,-0.075,0.283,0.0,13,9,8,-0.019
Cacna2d3,0.246,0.032,0.409,0.0134,11,9,7,1.627
Sgpp2,0.246,0.151,0.32,0.0014,13,12,8,1.926
Slc9a1,0.245,-0.122,0.301,0.0,13,9,8,-0.021
Susd2,0.245,0.149,0.404,0.0295,13,11,8,1.568
Slc45a1,0.244,0.079,0.268,0.0,13,11,8,1.878
Slc29a3,0.244,0.007,0.393,0.0094,11,9,7,-0.317
Fgf14,0.244,0.042,0.505,0.1069,13,11,8,1.865
Atp2b4,0.244,0.057,0.362,0.0206,13,11,8,0.826
Iglon5,0.243,0.026,0.466,0.0081,12,9,7,1.32
Slc15a4,0.243,0.057,0.368,0.0017,13,11,8,-0.029
Pnmal1,0.241,0.113,0.352,0.0018,12,11,7,1.973
Chrna3,0.241,0.026,0.319,0.0,11,10,6,1.737
Kcnh1,0.24,0.068,0.343,0.0035,12,10,7,1.855
Ttc39b,0.24,0.04,0.333,0.0,13,10,8,1.202
Pou6f1,0.238,0.11,0.288,0.0,13,11,8,0.682
Plxna2,0.238,-0.006,0.286,0.0005,13,8,8,-0.179
Spns2,0.237,-0.161,0.358,0.0606,13,9,8,0.536
Parp4,0.237,-0.021,0.267,0.0,13,8,8,0.0
Ppp1r16b,0.237,0.075,0.404,0.0173,12,11,7,0.873
Ablim2,0.237,0.05,0.291,0.0004,13,10,8,1.58
Ercc2,0.237,-0.03,0.334,0.0084,12,9,7,-0.027
Plcxd2,0.237,0.141,0.474,0.064,12,10,8,1.618
A4galt,0.236,0.031,0.366,0.0113,12,9,7,0.636
Ddr1,0.235,0.174,0.399,0.0004,13,12,8,0.042
1700066M21Rik,0.235,0.021,0.492,0.0067,11,9,7,-0.047
Pygl,0.234,-0.437,0.324,0.007,11,8,7,-0.516
Gda,0.234,-0.093,0.417,0.0447,11,7,8,1.179
Abcc4,0.233,-0.109,0.407,0.0155,11,8,7,0.979
Focad,0.233,-0.024,0.547,0.0559,11,8,7,-0.033
Spsb1,0.233,0.035,0.531,0.0432,12,10,8,0.151
Galnt7,0.232,-0.048,0.302,0.0,12,9,7,-0.344
Spry4,0.232,0.166,0.343,0.001,12,10,8,-0.095
Col5a3,0.232,-0.666,0.284,0.0003,10,7,6,-3.095
Donson,0.232,-0.117,0.416,0.0181,13,9,8,-0.262
Zfp275,0.232,0.126,0.317,0.0001,12,12,7,-0.001
Nrcam,0.232,0.171,0.377,0.0126,13,11,8,0.791
