gene,log2_neuron_over_glia
Xkr4,0.937
Gm1992,-3.322
Gm19938,0.531
Gm37381,0.0
Rp1,-0.583
Sox17,-4.895
Gm37587,-0.672
Gm37323,0.0
Mrpl15,0.237
Lypla1,0.067
Tcea1,-0.416
Rgs20,2.161
Gm16041,0.0
Atp6v1h,1.019
Oprk1,1.124
Npbwr1,0.181
Rb1cc1,0.453
4732440D04Rik,-0.206
Alkal1,0.0
St18,0.189
Pcmtd1,0.019
Gm26901,0.259
Gm30414,0.0
Sntg1,0.661
Rrs1,-0.068
Adhfe1,-2.12
2610203C22Rik,-2.111
Vxn,0.0
Gm29520,0.0
Mybl1,-0.019
Vcpip1,0.047
1700034P13Rik,0.162
Sgk3,-2.966
Mcmdc2,0.166
Snhg6,0.535
Tcf24,-0.716
Ppp1r42,0.205
Gm15818,0.0
Cops5,0.619
Cspp1,-0.295
Arfgef1,0.662
Cpa6,-0.249
Prex2,-4.622
A830018L16Rik,1.993
Gm17644,0.0
Gm29663,0.0
Sulf1,-2.911
Slco5a1,1.386
Gm29283,0.0
Prdm14,0.0
Ncoa2,-0.008
Gm29570,-0.111
Tram1,-1.422
Lactb2,-0.591
Xkr9,-0.044
Eya1,1.424
Gm9947,-0.769
Msc,-1.892
Trpa1,0.092
Kcnb2,2.333
Terf1,-0.825
Sbspon,-3.756
4930444P10Rik,0.121
Rpl7,-0.606
Rdh10,-1.536
Gm28095,0.0
Stau2,1.349
Gm7568,0.0
Ube2w,0.333
Eloc,0.638
D030040B21Rik,-0.519
Tmem70,0.3
Ly96,-1.294
Gm28376,0.0
Jph1,0.099
Gm28783,0.0
Gdap1,2.129
Gm28784,0.225
Pi15,-4.215
Gm28154,0.564
Gm16070,0.909
Crispld1,0.873
Gm28153,-0.045
Gm28756,1.71
Crisp4,0.0
Defb18,0.0
Defb41,0.0
Gm15825,0.0
Tfap2d,0.0
Tfap2b,0.256
Gm28340,0.0
Pkhd1,0.514
4930486I03Rik,0.0
Gm28653,0.0
Il17a,0.0
Il17f,-0.617
Mcm3,-3.775
Gm28065,0.0
6720483E21Rik,0.573
Paqr8,0.928
Efhc1,-0.625
Tram2,-3.878
Gm28287,0.0
Tmem14a,0.75
Gsta3,0.048
Gm28836,0.709
Khdc1a,0.0
Khdc1c,0.0
Khdc1b,0.0
Kcnq5,1.173
Rims1,0.887
Gm29506,0.0
4933415F23Rik,0.0
Gm27028,-0.178
Gm29107,-2.841
Ogfrl1,1.124
Gm28822,0.0
B3gat2,-0.591
Smap1,0.193
Sdhaf4,0.439
Fam135a,-0.355
Col9a1,-0.178
Col19a1,-2.024
Lmbrd1,-0.112
Gm28237,0.0
Gm29414,0.0
Adgrb3,0.223
4931408C20Rik,0.0
Gm5524,0.0
Gm597,0.0
Gm9898,0.0
Phf3,-0.397
Ptp4a1,-0.349
Gm5698,0.0
4931428L18Rik,0.0
Gm28644,0.0
Gm29128,0.0
Lgsn,0.0
Pih1d3,0.0
Khdrbs2,1.767
Gm5415,0.0
Gm37724,0.112
Gm37591,0.0
Prim2,-1.23
Rab23,-0.076
Bag2,0.258
Zfp451,0.565
Bend6,2.199
Dst,-0.086
Gm26788,-0.908
Gm37958,0.0
Gm37233,-0.407
Ccdc115,0.415
Gm28306,-0.049
Imp4,-0.272
Ptpn18,-4.533
Gm28417,-2.156
4930568A12Rik,0.371
Prss39,0.0
Cfc1,0.0
Prss40,0.0
1700101I19Rik,0.227
Amer3,2.098
Arhgef4,1.345
Gm38336,-0.77
Fam168b,0.49
