,GSE102443 geniculate (VII),GSE135801 geniculate (VII),GSE309608 vestibular (VIII),GSE232789 stellate,GSE232789 coeliac,GSE232789 lumbar chain,GSE231766 superior cervical,GSE231924 stellate,GSE232789 sphenopalatine,GSE330884 intrinsic cardiac,GSE232789 pelvic,"GSE263422 enteric submucosal, P24","GSE263422 enteric submucosal, P7"
0610009B22Rik,0.109,0.505,-0.124,-0.093,0.309,0.098,0.333,-0.304,-0.081,-0.082,0.069,-0.183,0.027
0610009L18Rik,0.349,-1.2,-0.189,0.078,-0.156,0.048,-0.557,,-0.076,,0.275,-0.451,0.28
0610010F05Rik,-0.085,-0.172,0.145,0.127,-0.059,0.035,0.183,0.004,-0.061,-0.006,0.069,0.012,0.047
0610010K14Rik,0.005,-0.28,-0.11,-0.07,-0.643,-0.098,-0.33,-0.372,0.016,-0.181,-0.118,-0.354,-0.145
0610012G03Rik,-0.005,-0.236,-0.179,-0.019,0.305,-0.062,-0.072,0.157,0.015,-0.127,0.011,-0.245,0.119
0610040B10Rik,0.152,,-0.028,0.077,-0.314,0.001,0.662,,0.134,-0.009,0.042,-0.217,-0.179
1110002L01Rik,0.121,,-0.156,0.061,0.413,0.298,-1.36,,-0.169,0.094,0.134,-0.113,0.017
1110004F10Rik,-0.056,0.129,-0.129,-0.047,0.012,0.002,0.007,0.107,-0.09,-0.127,-0.079,-0.281,-0.05
1110008P14Rik,0.127,0.116,-0.034,0.012,0.596,0.107,-0.129,0.073,0.059,-0.116,0.07,-0.122,-0.001
1110012L19Rik,-0.036,-0.645,-0.171,-0.004,-0.081,-0.063,,0.239,-0.103,-0.145,0.036,-0.283,0.126
1110032A03Rik,-0.059,-0.592,-0.031,-0.043,-0.312,0.068,0.21,0.175,-0.041,-0.165,0.027,-0.139,0.016
1110038F14Rik,0.027,-0.582,-0.064,-0.068,-0.216,-0.237,-0.379,-0.378,-0.1,-0.067,-0.142,-0.197,-0.094
1110046J04Rik,0.061,-1.284,-0.009,0.062,0.329,0.037,-0.068,-0.199,-0.179,-0.109,0.004,-0.214,-0.004
