dataset,age,n,Oprl1,Oprm1,Oprd1,Oprk1,Oprl1_pct,Oprm1_pct,Oprd1_pct,Oprk1_pct,top_gene,runner_up,margin,margin_lo,margin_hi,support,n_boot
GSE178931,E9.5,307,1.796,0.0,0.299,0.145,2.9,0.0,0.7,0.3,Oprl1,Oprd1,5.999,1.477,19.238,0.9944,10000
GSE178931,E11.5,1233,1.682,0.031,0.133,0.172,2.6,0.1,0.1,0.2,Oprl1,Oprk1,9.788,3.217,27.7,1.0,10000
GSE178931,E13.5,688,4.382,1.136,0.145,0.157,3.9,1.2,0.1,0.1,Oprl1,Oprm1,3.856,1.752,11.611,0.9998,10000
GSE165502,E14.5,136,97.284,5.841,0.0,0.972,30.9,10.3,0.0,1.5,Oprl1,Oprm1,16.655,9.245,35.877,1.0,10000
GSE165502,E15.5,169,133.592,3.176,0.295,2.006,58.6,7.7,1.2,2.4,Oprl1,Oprm1,42.068,22.568,104.094,1.0,10000
GSE165502,E16.5,816,149.377,0.914,0.221,10.469,89.6,3.8,1.1,20.8,Oprl1,Oprk1,14.269,11.74,17.799,1.0,10000
GSE165502,E17.5,75,148.434,0.372,1.447,5.159,65.3,2.7,4.0,4.0,Oprl1,Oprk1,28.771,11.634,103.239,1.0,10000
GSE165502,E18.5,688,80.437,0.083,0.074,4.591,83.4,0.6,1.0,11.5,Oprl1,Oprk1,17.519,13.364,24.455,1.0,10000
GSE165502,P3,506,90.121,0.005,0.067,4.86,89.3,0.2,0.4,13.2,Oprl1,Oprk1,18.543,13.677,26.694,1.0,10000
GSE114997,P25,186,41.159,0.0,0.0,0.0,78.0,0.0,0.0,0.0,Oprl1,Oprm1,inf,,,1.0,10000
