dataset,gene,neuron_CPM,non_neuron_CPM,n_neurons,n_non_neurons,log2_enrichment
GSE232789 (stellate),Oprl1,27.5503,6.7297,2589,6866,2.032
GSE232789 (stellate),Oprm1,0.5624,0.1251,2589,6866,2.083
GSE232789 (stellate),Oprd1,0.0315,0.0161,2589,6866,0.669
GSE232789 (stellate),Oprk1,4.5295,1.5704,2589,6866,1.522
GSE232789 (stellate),Snap25,632.3681,139.8859,2589,6866,2.176
GSE232789 (stellate),Plp1,22.3953,1322.0742,2589,6866,-5.883
GSE232789 (stellate),Ptprc,0.0853,5.2352,2589,6866,-5.783
GSE232789 (coeliac),Oprl1,25.0327,2.2394,247,1304,3.477
GSE232789 (coeliac),Oprm1,0.4214,0.0,247,1304,5.431
GSE232789 (coeliac),Oprd1,0.0258,0.0146,247,1304,0.539
GSE232789 (coeliac),Oprk1,0.5637,0.0326,247,1304,3.751
GSE232789 (coeliac),Snap25,601.6966,70.06,247,1304,3.102
GSE232789 (coeliac),Plp1,12.1885,1431.9155,247,1304,-6.875
GSE232789 (coeliac),Ptprc,0.407,9.992,247,1304,-4.584
GSE232789 (lumbar chain),Oprl1,24.7567,4.2782,887,1371,2.53
GSE232789 (lumbar chain),Oprm1,1.6751,0.4954,887,1371,1.737
GSE232789 (lumbar chain),Oprd1,0.0328,0.0889,887,1371,-1.207
GSE232789 (lumbar chain),Oprk1,0.3925,0.4348,887,1371,-0.144
GSE232789 (lumbar chain),Snap25,466.4834,74.4276,887,1371,2.648
GSE232789 (lumbar chain),Plp1,10.5025,1360.6649,887,1371,-7.016
GSE232789 (lumbar chain),Ptprc,0.0175,8.5274,887,1371,-8.279
GSE232789 (sphenopalatine),Oprl1,19.5018,3.1897,2014,2890,2.608
GSE232789 (sphenopalatine),Oprm1,0.2917,0.0479,2014,2890,2.38
GSE232789 (sphenopalatine),Oprd1,0.0399,0.0,2014,2890,2.32
GSE232789 (sphenopalatine),Oprk1,0.0154,0.042,2014,2890,-1.032
GSE232789 (sphenopalatine),Snap25,701.95,78.4316,2014,2890,3.162
GSE232789 (sphenopalatine),Plp1,28.1804,1048.2931,2014,2890,-5.217
GSE232789 (sphenopalatine),Ptprc,0.0938,4.6208,2014,2890,-5.479
GSE232789 (pelvic),Oprl1,16.3319,2.5196,1444,5236,2.692
GSE232789 (pelvic),Oprm1,0.5037,0.0343,1444,5236,3.536
GSE232789 (pelvic),Oprd1,0.4301,0.1063,1444,5236,1.92
GSE232789 (pelvic),Oprk1,0.4601,0.0634,1444,5236,2.679
GSE232789 (pelvic),Snap25,741.2202,86.8515,1444,5236,3.093
GSE232789 (pelvic),Plp1,48.4688,948.7704,1444,5236,-4.291
GSE232789 (pelvic),Ptprc,0.0887,7.7153,1444,5236,-6.29
GSE231766 (superior cervical),Oprl1,18.6786,11.1361,1382,15519,0.746
GSE231766 (superior cervical),Oprm1,0.27,0.103,1382,15519,1.309
GSE231766 (superior cervical),Oprd1,0.5678,0.4084,1382,15519,0.466
GSE231766 (superior cervical),Oprk1,0.7262,0.382,1382,15519,0.909
GSE231766 (superior cervical),Snap25,934.0972,535.3319,1382,15519,0.803
GSE231766 (superior cervical),Plp1,125.283,232.5832,1382,15519,-0.893
GSE231766 (superior cervical),Ptprc,0.6309,97.2413,1382,15519,-7.245
"GSE231766 (superior cervical, heart disease)",Oprl1,27.8626,4.2629,733,7565,2.706
"GSE231766 (superior cervical, heart disease)",Oprm1,0.3727,0.1975,733,7565,0.883
"GSE231766 (superior cervical, heart disease)",Oprd1,1.9317,0.2359,733,7565,2.981
"GSE231766 (superior cervical, heart disease)",Oprk1,2.2664,0.4216,733,7565,2.399
"GSE231766 (superior cervical, heart disease)",Snap25,1430.3652,327.7419,733,7565,2.126
"GSE231766 (superior cervical, heart disease)",Plp1,46.5403,746.6149,733,7565,-4.004
