dataset,tissue,division,n,n_samples,median_umi,Oprl1,Oprm1,Oprd1,Oprk1,Oprl1_pct,Oprm1_pct,Oprd1_pct,Oprk1_pct,top_gene,runner_up,margin,margin_lo,margin_hi,support,n_boot,over_Oprm1,Oprl1_percentile,samples_agreeing,Oprl1_log2_neuron_over_glia
GSE232789,stellate,sympathetic,2589,1.0,27931.0,27.55,0.562,0.031,4.53,52.53,1.35,0.12,8.96,Oprl1,Oprk1,6.082,5.162,7.274,1.0,10000,48.99,74.5,1/1,2.032
GSE232789,celiac,sympathetic,247,1.0,56023.0,25.033,0.421,0.026,0.564,66.4,4.05,0.4,2.83,Oprl1,Oprk1,44.41,20.421,197.626,1.0,10000,59.4,61.0,1/1,3.477
GSE232789,lumbar chain,sympathetic,887,1.0,73326.0,24.757,1.675,0.033,0.393,76.55,11.61,0.23,2.71,Oprl1,Oprm1,14.779,12.001,18.827,1.0,10000,14.78,71.2,1/1,2.53
GSE232789,sphenopalatine,parasympathetic,2014,1.0,37416.0,19.502,0.292,0.04,0.015,49.9,0.89,0.2,0.05,Oprl1,Oprm1,66.859,40.542,132.539,1.0,10000,66.86,68.8,1/1,2.608
GSE232789,pelvic,mixed autonomic,1444,2.0,40986.0,16.332,0.504,0.43,0.46,51.04,2.35,2.7,2.08,Oprl1,Oprm1,32.424,21.995,54.196,1.0,10000,32.42,58.5,2/2,2.692
GSE231766,superior cervical,sympathetic,1382,2.0,9885.0,18.679,0.27,0.568,0.726,21.56,0.43,1.23,1.37,Oprl1,Oprk1,25.72,15.934,52.141,1.0,10000,69.18,71.1,2/2,0.746
GSE231766,"superior cervical, heart disease",sympathetic,733,2.0,43142.0,27.863,0.373,1.932,2.266,58.53,2.18,7.91,7.09,Oprl1,Oprk1,12.294,8.457,19.527,1.0,10000,74.76,71.0,2/2,2.706
GSE330884,intrinsic cardiac,parasympathetic,4513,3.0,52533.0,11.127,3.045,0.364,0.0,38.2,11.99,1.15,0.0,Oprl1,Oprm1,3.654,3.288,4.075,1.0,10000,3.65,60.5,3/3,0.75
GSE263422,"enteric submucosal, P24",enteric,7787,3.0,12874.0,35.567,0.179,16.142,3.77,32.37,0.18,17.63,1.08,Oprl1,Oprd1,2.203,2.05,2.367,1.0,10000,199.23,73.0,3/3,0.836
GSE263422,"enteric submucosal, P7",enteric,1648,2.0,8974.0,26.698,0.74,2.294,122.506,23.36,0.97,2.12,32.71,Oprk1,Oprl1,4.589,4.043,5.237,1.0,10000,36.09,60.7,2/2,1.973
GSE309608,vestibular (VIII),sensory,6596,4.0,55172.0,19.879,1.775,0.09,4.634,57.57,6.66,0.49,9.67,Oprl1,Oprk1,4.29,3.854,4.808,1.0,10000,11.2,66.2,4/4,2.119
GSE231924,stellate,sympathetic,1303,,,23.928,4.837,5.04,5.116,11.51,2.69,2.46,2.3,Oprl1,Oprk1,4.677,3.024,8.078,1.0,10000,4.95,61.4,n/a,
