decile,n,span_lo,span_hi,span_med,median_whole_cell,median_nuclear,median_ratio
0,1489,0.107,5.589,3.52,14.665,7.056,0.46
1,1487,5.59,9.819,7.644,14.221,10.403,0.628
2,1487,9.821,14.487,12.082,15.454,12.518,0.782
3,1488,14.488,20.074,17.144,13.659,13.483,0.879
4,1487,20.075,27.375,23.561,15.139,17.709,1.038
5,1488,27.376,37.366,31.887,15.116,21.74,1.237
6,1487,37.378,52.932,44.206,17.605,27.777,1.462
7,1488,52.95,81.11,64.554,18.587,37.07,1.813
8,1487,81.129,143.453,103.989,20.039,48.104,2.358
9,1488,143.521,2961.608,238.39,16.953,94.088,5.22
