cluster,n_cells,Oprl1_CPM,Oprl1_pct,Glp1r_CPM,Glp1r_pct,Cckar_CPM,Cckar_pct,Calcr_CPM,Calcr_pct,Gipr_CPM,Gipr_pct,Gfral_CPM,Gfral_pct,Cckbr_CPM,Cckbr_pct
NGN1,4370,15.171,10.78,9.339,5.68,270.252,64.05,0.0,0.0,0.216,0.25,0.069,0.05,28.573,16.52
NGN2,2914,2.84,3.5,2.102,2.68,6.03,6.35,0.0,0.0,0.0,0.0,0.0,0.0,0.412,0.38
NGN3,2758,2.26,2.68,0.652,0.65,17.848,9.28,0.0,0.0,0.0,0.0,0.0,0.0,1.687,0.62
NGN4,2292,8.853,8.68,168.913,60.95,1511.985,93.63,0.0,0.0,0.007,0.04,0.0,0.0,9.549,7.24
NGN5,1940,0.48,0.72,0.794,1.03,57.321,28.45,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.72
NGN6,1672,30.81,22.25,2.042,1.14,29.962,18.72,0.0,0.0,0.0,0.0,0.019,0.06,1.213,0.84
NGN7,1352,25.181,18.64,88.105,43.12,92.776,41.35,0.0,0.0,0.0,0.0,0.0,0.0,10.279,5.55
NGN8,1281,1.09,1.41,6.743,4.84,157.86,26.54,0.0,0.0,0.211,0.08,0.0,0.0,2.021,1.72
NGN9,974,9.922,3.29,13.38,2.67,114.501,17.45,0.0,0.0,0.0,0.0,0.763,0.21,11.323,3.7
NGN10,891,12.878,11.34,1.656,0.9,10.769,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.45
NGN11,909,2.518,2.86,0.521,0.88,223.55,33.66,0.0,0.0,0.0,0.0,0.0,0.0,70.102,42.24
NGN12,806,19.608,17.87,0.124,0.37,21.394,14.02,0.0,0.0,0.0,0.0,0.0,0.0,6.297,5.09
NGN13,748,2.122,2.81,6.417,6.68,63.014,19.25,0.0,0.0,0.082,0.13,0.0,0.0,0.062,0.13
NGN14,730,44.153,27.81,2.276,1.51,22.557,15.07,0.0,0.0,0.023,0.14,0.0,0.0,1.7,2.05
NGN15,612,15.092,11.44,1.811,1.31,91.959,37.75,0.0,0.0,0.256,0.16,0.0,0.0,0.825,0.65
NGN16,565,23.466,18.76,2.323,1.24,20.435,12.74,0.0,0.0,0.32,0.35,0.0,0.0,3.271,1.24
NGN17,345,33.429,15.07,26.474,9.57,182.194,50.14,0.0,0.0,0.0,0.0,0.0,0.0,5.019,2.61
NGN18,271,14.65,16.24,0.431,1.11,4.775,7.01,0.0,0.0,0.084,0.37,0.0,0.0,0.0,0.0
NGN19,220,30.597,21.36,7.127,5.0,17.515,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGN20,205,11.007,8.78,299.638,60.49,2503.526,97.56,0.0,0.0,0.0,0.0,0.0,0.0,12.198,8.78
NGN21,192,5.277,6.25,154.563,56.77,15.673,14.58,0.0,0.0,0.0,0.0,0.0,0.0,0.586,1.04
