gene,ensembl_id,span_kb,whole_cell_CPM,nuclear_CPM,ratio,exonic_kb,intronic_kb,intron_fraction
Ptp4a1,ENSMUSG00000117310,0.107,1.7738,0.5327,0.3003,4.145,0.001,0.0093
mt-Atp8,ENSMUSG00000064356,0.203,501.4919,37.6522,0.0751,0.204,0.001,0.0049
mt-Nd4l,ENSMUSG00000065947,0.296,23.4884,5.1547,0.2195,0.297,0.001,0.0034
mt-Nd3,ENSMUSG00000064360,0.347,28.879,30.1488,1.044,0.348,0.001,0.0029
Rps27rt,ENSMUSG00000050621,0.373,10.9486,2.5242,0.2306,0.374,0.001,0.0027
H2bc26,ENSMUSG00000080712,0.38,0.1392,0.1979,1.4217,0.381,0.001,0.0026
H2ac21,ENSMUSG00000063689,0.443,0.1293,0.775,5.9956,0.444,0.001,0.0023
Rpl35rt,ENSMUSG00000078193,0.444,3.2452,0.1093,0.0337,0.445,0.001,0.0023
H4c8,ENSMUSG00000060981,0.469,2.6074,3.7486,1.4377,0.47,0.001,0.0021
H2ac24,ENSMUSG00000094777,0.481,1.357,5.0845,3.747,0.482,0.001,0.0021
Tmsb10b,ENSMUSG00000091955,0.484,53.2995,4.5429,0.0852,0.485,0.001,0.0021
Gm8797,ENSMUSG00000103034,0.489,3.6227,2.8453,0.7854,0.49,0.001,0.002
Cox5b-ps,ENSMUSG00000079941,0.496,5.175,0.7012,0.1355,0.497,0.001,0.002
Uba52rt,ENSMUSG00000068240,0.503,5.7015,0.2499,0.0438,0.504,0.001,0.002
Hspe1-rs1,ENSMUSG00000117621,0.514,4.3982,0.6791,0.1544,0.515,0.001,0.0019
mt-Nd6,ENSMUSG00000064368,0.518,27.4764,51.5671,1.8768,0.519,0.001,0.0019
H2ac20,ENSMUSG00000068855,0.519,0.2805,0.9187,3.2759,0.52,0.001,0.0019
Gm5617,ENSMUSG00000042293,0.53,18.1138,6.464,0.3569,0.531,0.001,0.0019
Pfn3,ENSMUSG00000044444,0.544,0.315,0.1378,0.4375,0.545,0.001,0.0018
Pam16l,ENSMUSG00000045886,0.565,3.2682,0.6774,0.2073,0.563,0.002,0.0035
H2ac18,ENSMUSG00000064220,0.585,1.0599,4.5582,4.3005,0.586,0.001,0.0017
Gng5c,ENSMUSG00000117145,0.617,2.5875,1.145,0.4425,0.618,0.001,0.0016
H2bc8,ENSMUSG00000058385,0.617,0.4614,0.6251,1.3548,0.618,0.001,0.0016
mt-Atp6,ENSMUSG00000064357,0.68,91.0244,3.0804,0.0338,0.681,0.001,0.0015
mt-Co2,ENSMUSG00000064354,0.683,19.1292,0.3053,0.016,0.684,0.001,0.0015
Pabpc1l2b,ENSMUSG00000084842,0.689,0.3286,0.136,0.4138,0.69,0.001,0.0015
H2ac8,ENSMUSG00000069272,0.703,0.6004,2.2351,3.7228,0.704,0.001,0.0014
Rpl9-ps6,ENSMUSG00000062456,0.713,11.2555,0.7258,0.0645,0.714,0.001,0.0014
H4c9,ENSMUSG00000060639,0.726,5.339,4.7991,0.8989,0.727,0.001,0.0014
Erhrt-ps,ENSMUSG00000063412,0.735,2.0567,0.2389,0.1162,0.736,0.001,0.0014
Hmgb4,ENSMUSG00000048686,0.745,0.4025,1.751,4.3498,0.746,0.001,0.0013
2310039H08Rik,ENSMUSG00000062619,0.761,17.449,5.9986,0.3438,0.762,0.001,0.0013
Rpl10-ps3,ENSMUSG00000058443,0.767,5.2025,0.8043,0.1546,0.768,0.001,0.0013
AY074887,ENSMUSG00000044820,0.768,0.3229,0.1785,0.5529,0.769,0.001,0.0013
Hspb3,ENSMUSG00000051456,0.78,1.0428,0.9929,0.9522,0.781,0.001,0.0013
mt-Co3,ENSMUSG00000064358,0.783,48.8211,2.6262,0.0538,0.784,0.001,0.0013
Sap18b,ENSMUSG00000061104,0.788,3.8355,1.6352,0.4263,0.789,0.001,0.0013
A030005L19Rik,ENSMUSG00000113880,0.805,0.7648,1.1746,1.5359,0.806,0.001,0.0012
Sct,ENSMUSG00000038580,0.809,2.9294,0.1279,0.0437,0.645,0.164,0.2027
Gm26620,ENSMUSG00000096968,0.816,0.4457,1.1934,2.6777,0.817,0.001,0.0012
H4c3,ENSMUSG00000060678,0.819,0.3073,1.0893,3.5451,0.82,0.001,0.0012
H3c6,ENSMUSG00000069273,0.835,2.7165,1.4886,0.548,0.836,0.001,0.0012
Psme2b,ENSMUSG00000078153,0.836,1.99,0.8593,0.4318,0.837,0.001,0.0012
Mrpl34,ENSMUSG00000034880,0.841,86.755,24.2322,0.2793,0.607,0.234,0.2782
Npb,ENSMUSG00000044034,0.847,1.9647,0.9621,0.4897,0.542,0.305,0.3601
Tmem203,ENSMUSG00000078201,0.853,14.367,4.7849,0.333,0.854,0.001,0.0012
Pabir1,ENSMUSG00000074922,0.854,21.3086,16.1365,0.7573,0.855,0.001,0.0012
Tescl,ENSMUSG00000055826,0.854,0.2735,0.3195,1.1679,0.855,0.001,0.0012
Gm13199,ENSMUSG00000056718,0.854,0.7639,0.96,1.2568,0.759,0.095,0.1112
Oxt,ENSMUSG00000027301,0.883,0.1117,0.4628,4.1435,0.537,0.346,0.3918
Ucn,ENSMUSG00000038676,0.897,6.0588,0.7648,0.1262,0.504,0.393,0.4381
Scand1,ENSMUSG00000046229,0.901,166.8113,53.0692,0.3181,0.803,0.098,0.1088
Mcts2,ENSMUSG00000042814,0.911,17.2826,9.9239,0.5742,0.912,0.001,0.0011
Mif,ENSMUSG00000033307,0.935,365.318,84.7745,0.2321,0.745,0.19,0.2032
Gm10053,ENSMUSG00000058927,0.945,0.5682,1.5807,2.7821,0.946,0.001,0.0011
Gm6133,ENSMUSG00000090451,0.947,0.1648,0.179,1.0862,0.948,0.001,0.0011
Higd2a,ENSMUSG00000025868,0.953,333.1116,77.7125,0.2333,0.648,0.305,0.32
mt-Nd1,ENSMUSG00000064341,0.956,3736.1289,477.5832,0.1278,0.957,0.001,0.001
Sft2d1rt,ENSMUSG00000069899,0.967,3.0243,0.1518,0.0502,0.968,0.001,0.001
Bmyc,ENSMUSG00000049086,0.982,157.733,71.8092,0.4553,0.983,0.001,0.001
H4c1,ENSMUSG00000060093,0.984,0.5117,0.1761,0.3442,0.539,0.445,0.4522
Ube2srt,ENSMUSG00000118653,0.987,1.9086,0.2046,0.1072,0.988,0.001,0.001
Hbq1b,ENSMUSG00000073063,0.998,1.3775,0.5181,0.3761,0.725,0.273,0.2735
Rprml,ENSMUSG00000046215,1.009,37.8435,13.5983,0.3593,1.01,0.001,0.001
Rasl2-9,ENSMUSG00000083649,1.012,0.3496,0.1868,0.5341,1.013,0.001,0.001
H3c15,ENSMUSG00000081058,1.019,12.2931,4.4243,0.3599,1.02,0.001,0.001
Nscme3l,ENSMUSG00000100937,1.02,0.1563,0.7424,4.7508,1.021,0.001,0.001
Mrgprb5,ENSMUSG00000070551,1.036,1.4686,1.4098,0.9599,1.037,0.001,0.001
Ufsp1,ENSMUSG00000051502,1.036,67.0465,19.0998,0.2849,1.037,0.001,0.001
mt-Nd2,ENSMUSG00000064345,1.037,1425.1494,378.8071,0.2658,1.038,0.001,0.001
Dnajb3,ENSMUSG00000081984,1.05,2.7101,0.5785,0.2135,1.051,0.001,0.001
Pop7,ENSMUSG00000029715,1.08,68.4264,16.5703,0.2422,1.081,0.001,0.0009
Fam229a,ENSMUSG00000078554,1.095,0.5351,0.3686,0.6889,0.637,0.458,0.4183
Npff,ENSMUSG00000023052,1.103,0.1508,0.2345,1.5552,1.002,0.101,0.0916
Rps21,ENSMUSG00000039001,1.135,801.3681,356.9941,0.4455,0.81,0.325,0.2863
Ccl21a,ENSMUSG00000094686,1.136,2.587,0.7,0.2706,0.87,0.266,0.2342
H4c4,ENSMUSG00000061482,1.137,1.4473,6.3219,4.368,1.138,0.001,0.0009
