gene,ensembl_id,span_kb,whole_cell_CPM,nuclear_CPM,ratio
mt-Atp8,ENSMUSG00000064356,0.203,501.49191449909074,37.65221637018983,0.07508040564880951
mt-Nd4l,ENSMUSG00000065947,0.296,23.48844739974242,5.154705530990168,0.2194570566229378
mt-Nd3,ENSMUSG00000064360,0.347,28.878998192863772,30.148842987205242,1.0439712203955627
Rps27rt,ENSMUSG00000050621,0.373,10.948637217979323,2.524241483022186,0.23055302982155612
H4c8,ENSMUSG00000060981,0.469,2.607414505202926,3.748617662636091,1.4376761558839104
H2ac24,ENSMUSG00000094777,0.481,1.3569534313853782,5.084482969240614,3.7469841275611238
Tmsb10b,ENSMUSG00000091955,0.484,53.29951772067655,4.5428507573045795,0.08523249274246746
Gm8797,ENSMUSG00000103034,0.489,3.622742259602399,2.845349134391457,0.7854130739910099
mt-Nd6,ENSMUSG00000064368,0.518,27.476420399034737,51.56713063216956,1.8767776108849006
Gm5617,ENSMUSG00000042293,0.53,18.11380775020226,6.463977408902522,0.35685359467450156
H2ac18,ENSMUSG00000064220,0.585,1.0599289705808548,4.5582109508146695,4.3004871810577185
Gng5c,ENSMUSG00000117145,0.617,2.587504213508155,1.1450161232751779,0.44251758791254586
mt-Atp6,ENSMUSG00000064357,0.68,91.0243533793977,3.0803817052537656,0.033841291817965
H4c9,ENSMUSG00000060639,0.726,5.338957921070933,4.799058938280239,0.8988755875636502
2310039H08Rik,ENSMUSG00000062619,0.761,17.448959087779063,5.998624996893582,0.34378125174784274
mt-Co3,ENSMUSG00000064358,0.783,48.821082792632424,2.626163609438896,0.053791588781296126
Sap18b,ENSMUSG00000061104,0.788,3.8355149514193343,1.6352146842117257,0.4263351088245957
H3c6,ENSMUSG00000069273,0.835,2.7165360725956753,1.4885917427241184,0.5479742226657625
Mrpl34,ENSMUSG00000034880,0.841,86.75498575678273,24.232171901014368,0.2793173405497313
Tmem203,ENSMUSG00000078201,0.853,14.367023496605698,4.784860644352105,0.3330446731351528
Pabir1,ENSMUSG00000074922,0.854,21.308578888033285,16.136507168493573,0.75727749153444
Scand1,ENSMUSG00000046229,0.901,166.81125473707067,53.06924569085378,0.3181394791047042
Mcts2,ENSMUSG00000042814,0.911,17.282638782230837,9.923858787449094,0.5742096975175064
Mif,ENSMUSG00000033307,0.935,365.31804070140913,84.7744894821609,0.2320566740131263
Higd2a,ENSMUSG00000025868,0.953,333.1115871463345,77.71250366635657,0.2332927063033019
mt-Nd1,ENSMUSG00000064341,0.956,3736.1288700119953,477.58319401307097,0.12782835138434012
Bmyc,ENSMUSG00000049086,0.982,157.73297883133287,71.80923896190471,0.4552582439889873
Rprml,ENSMUSG00000046215,1.009,37.84347077454864,13.598328931422383,0.35933091371121917
H3c15,ENSMUSG00000081058,1.019,12.293075719031943,4.424262793468684,0.3598987669635119
Mrgprb5,ENSMUSG00000070551,1.036,1.4686428539963694,1.4097596454558856,0.9599063799750532
Ufsp1,ENSMUSG00000051502,1.036,67.04646627716116,19.09980304716588,0.2848741195130231
mt-Nd2,ENSMUSG00000064345,1.037,1425.1494142339716,378.80711877284097,0.26580168717008007
Pop7,ENSMUSG00000029715,1.08,68.42639345531833,16.570299063854932,0.2421623912514862
Rps21,ENSMUSG00000039001,1.135,801.3681182397755,356.99413365869276,0.4454808290138108
H4c4,ENSMUSG00000061482,1.137,1.4472989778239087,6.3218718800952285,4.368048327927724
mt-Cytb,ENSMUSG00000064370,1.143,5633.18263184493,620.7766312241066,0.11019998317022349
Hba-a2,ENSMUSG00000069917,1.152,9.114921705285953,16.527406728150215,1.813225309282206
Rps27,ENSMUSG00000090733,1.158,891.0619682207978,163.70020514222082,0.18371360352084656
Tbcc,ENSMUSG00000036430,1.163,32.76353728620445,30.963506404500066,0.9450599345858082
Naa38,ENSMUSG00000059278,1.193,245.1829221733823,39.53349646376288,0.161240824252052
Rtl8a,ENSMUSG00000067925,1.194,228.5215579012391,94.03873046698835,0.41150923059797
Mtln,ENSMUSG00000051319,1.201,138.5429921164685,47.333865003931926,0.34165470429669886
Bhlha9,ENSMUSG00000044243,1.206,5.791080624231073,3.4546706140603836,0.5965502534372136
H1f10,ENSMUSG00000044927,1.216,76.06988480341352,36.4590455193346,0.47928356423248536
Rnf113a1,ENSMUSG00000036537,1.222,3.977383273817221,4.325295667121863,1.0874726847661176
Ccnq,ENSMUSG00000049489,1.223,25.604654061706064,6.8746314316624035,0.2684914787403435
Mt1,ENSMUSG00000031765,1.245,365.3993025990928,50.316706326582526,0.13770334526825517
Ier3,ENSMUSG00000003541,1.247,52.2187076949178,21.928631480587583,0.41993822613733106
Ppp1r35,ENSMUSG00000029725,1.261,38.93542345004619,16.667287860311536,0.42807516609381485
Bloc1s4,ENSMUSG00000060708,1.272,21.524440268074994,10.356342463074792,0.4811434041532452
Alyref2,ENSMUSG00000060244,1.278,4.239232087577783,2.385403184932407,0.5626970016391297
Znhit2,ENSMUSG00000075227,1.28,82.33620192358562,21.463375086483822,0.2606796838455519
Mien1,ENSMUSG00000002580,1.3,310.0257095730866,55.71809613999642,0.17972088900859762
Cox6b2,ENSMUSG00000051811,1.304,3.4788153507185915,1.6205294540675497,0.4658279588575489
Mblac1,ENSMUSG00000049285,1.307,3.2867693902956034,2.3934054610240665,0.7281939122625241
Rplp1,ENSMUSG00000007892,1.315,1483.2650847099394,430.3405428264782,0.29013056887982613
Hba-a1,ENSMUSG00000069919,1.318,7.669405643930476,18.74526315369487,2.444161128513233
Rps4l,ENSMUSG00000063171,1.333,40.73906450429466,48.6494828273314,1.1941728024265954
Rnf208,ENSMUSG00000044628,1.333,98.29408261393326,38.4477385960717,0.3911500832362589
Tusc1,ENSMUSG00000054000,1.373,19.03185713878724,5.342818022843727,0.28073025054160244
mt-Nd4,ENSMUSG00000064363,1.377,2296.1075581851283,633.1152767238344,0.27573415472934404
Rnf113a2,ENSMUSG00000098134,1.382,7.309782055342487,4.793656257385983,0.6557864818804621
H2ax,ENSMUSG00000049932,1.383,16.940765343010696,8.221602697935252,0.4853147146228115
Mt2,ENSMUSG00000031762,1.388,50.36389475298506,13.182893015591898,0.2617528505340733
Gpha2,ENSMUSG00000024784,1.389,25.43870715480074,2.4005547248151906,0.09436622349584158
Sh3bgrl3,ENSMUSG00000028843,1.391,1950.1951736109063,424.31075490371484,0.21757348220592576
Eid2,ENSMUSG00000046058,1.391,44.51741643700506,14.762883881422818,0.3316204097853079
Gm13889,ENSMUSG00000087006,1.391,280.7378311564324,82.10582992901533,0.2924644305713982
Pou5f2,ENSMUSG00000093668,1.393,2.546473745419022,5.1574174643761586,2.025317352536657
Brcc3dc,ENSMUSG00000112039,1.396,1.146856332696542,8.684524836977577,7.572460986946916
Tmsb10,ENSMUSG00000079523,1.407,10033.631757877694,814.2817700941141,0.08115523767899872
Ssna1,ENSMUSG00000026966,1.408,106.80232759355673,26.17862471760745,0.2451128669894904
Cldn5,ENSMUSG00000041378,1.415,4.030931707782529,2.857951743807532,0.7090052501484155
Chchd1,ENSMUSG00000063787,1.419,165.1220689291855,33.10462693468556,0.20048578090965455
Isg15,ENSMUSG00000035692,1.42,14.664975599800835,5.444623591100578,0.37126714286347134
Cldn9,ENSMUSG00000066720,1.442,6.512691479567592,2.307890126261269,0.3543681031877316
Gpx1,ENSMUSG00000063856,1.444,370.9095960320023,79.21263725397216,0.21356319195132833
Hes5,ENSMUSG00000048001,1.455,6.277928212053166,1.873398483883684,0.2984103068090035
Nt5c,ENSMUSG00000020736,1.459,75.66156236837436,47.26284620240798,0.6246612510101072
Rprm,ENSMUSG00000075334,1.459,156.839570843502,38.16949368928705,0.24336647622795027
Nkapl,ENSMUSG00000059395,1.462,1.530502761738782,2.4978586426677865,1.6320510521849732
Rps29,ENSMUSG00000034892,1.465,1574.1128542703805,448.91048234861177,0.2851831627769071
Tstd1,ENSMUSG00000103711,1.482,17.839976587826413,5.285984634754211,0.296299975996675
Tmem256,ENSMUSG00000070394,1.488,376.854436232737,64.26641083050622,0.17053377816897106
Ifitm2,ENSMUSG00000060591,1.49,37.694986828191475,15.114490538193301,0.4009681872839764
Polr2i,ENSMUSG00000019738,1.491,75.14732282789488,23.952766446981368,0.31874410884655013
Dusp28,ENSMUSG00000047067,1.492,33.46215980847251,7.840600184044706,0.23431243616437133
